rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Chamber,1.18,18.3,15.5,2.7,0.5,0.198,236,27897,e5,act2,radiant
2,Jett,1.07,17.7,16.5,3.6,0.52,0.136,240,19227,e5,act2,radiant
3,Raze,1.08,17.5,16.2,4.7,0.51,0.073,250,10251,e5,act2,radiant
4,Fade,1.04,15.4,14.8,6.9,0.5,0.072,207,10200,e5,act2,radiant
5,Reyna,1.11,18.0,16.3,3.8,0.53,0.07,239,9843,e5,act2,radiant
6,Sova,1.06,15.7,14.8,5.7,0.48,0.067,216,9435,e5,act2,radiant
7,Viper,1.08,15.8,14.6,5.3,0.53,0.067,216,9435,e5,act2,radiant
8,Omen,1.01,15.4,15.3,6.9,0.44,0.051,203,7242,e5,act2,radiant
9,KAY/O,0.99,15.4,15.5,8.8,0.49,0.043,212,6069,e5,act2,radiant
10,Brimstone,1.03,15.2,14.8,8.0,0.53,0.042,205,5916,e5,act2,radiant
11,Sage,1.06,15.2,14.3,6.3,0.6,0.037,207,5202,e5,act2,radiant
12,Skye,1.02,16.1,15.8,5.7,0.47,0.029,209,4029,e5,act2,radiant
13,Phoenix,1.15,17.3,15.0,3.6,0.47,0.028,248,3978,e5,act2,radiant
14,Astra,1.13,16.3,14.4,5.4,0.56,0.026,215,3672,e5,act2,radiant
15,Breach,0.89,13.9,15.5,6.6,0.54,0.024,185,3315,e5,act2,radiant
16,Neon,1.05,18.3,17.5,4.3,0.52,0.015,250,2142,e5,act2,radiant
17,Killjoy,1.06,15.8,14.8,3.4,0.5,0.01,213,1428,e5,act2,radiant
18,Cypher,1.05,15.3,14.6,4.7,0.44,0.007,213,918,e5,act2,radiant
19,Yoru,0.9,14.6,16.3,3.5,0.33,0.005,210,765,e5,act2,radiant
1,Chamber,1.14,17.2,15.1,2.7,0.5,0.19,227,177531,e5,act2,immortal3
2,Jett,1.06,17.2,16.1,3.3,0.5,0.139,236,130152,e5,act2,immortal3
3,Reyna,1.1,17.4,15.8,3.7,0.51,0.077,238,71859,e5,act2,immortal3
4,Sova,0.99,14.5,14.7,5.7,0.5,0.071,202,65892,e5,act2,immortal3
5,Fade,0.98,14.7,15.0,7.0,0.52,0.067,199,62934,e5,act2,immortal3
6,Viper,1.02,14.8,14.5,5.3,0.52,0.066,203,61557,e5,act2,immortal3
7,Raze,1.04,16.9,16.3,4.8,0.5,0.065,242,60843,e5,act2,immortal3
8,Brimstone,1.0,15.1,15.1,8.1,0.5,0.054,208,50388,e5,act2,immortal3
9,Omen,1.0,15.0,15.0,6.7,0.5,0.044,202,41412,e5,act2,immortal3
10,Sage,1.0,14.7,14.8,6.5,0.55,0.044,200,40902,e5,act2,immortal3
11,KAY/O,0.93,14.5,15.7,8.4,0.47,0.035,203,32538,e5,act2,immortal3
12,Phoenix,1.11,17.5,15.8,4.1,0.51,0.029,241,26877,e5,act2,immortal3
13,Skye,0.97,14.9,15.4,5.8,0.52,0.028,201,25755,e5,act2,immortal3
14,Breach,0.96,14.3,14.9,6.5,0.52,0.026,196,24684,e5,act2,immortal3
15,Astra,1.04,15.5,14.9,6.0,0.51,0.022,205,20502,e5,act2,immortal3
16,Neon,0.97,16.1,16.7,4.2,0.49,0.016,225,14790,e5,act2,immortal3
17,Yoru,1.02,16.3,16.0,3.9,0.46,0.012,225,10812,e5,act2,immortal3
18,Cypher,1.04,15.2,14.7,3.9,0.49,0.008,203,7344,e5,act2,immortal3
19,Killjoy,1.1,15.3,13.8,3.9,0.64,0.008,213,7293,e5,act2,immortal3
1,Chamber,1.12,16.9,15.1,2.8,0.5,0.182,225,265404,e5,act2,immortal2
2,Jett,1.06,17.3,16.2,3.5,0.5,0.135,236,196605,e5,act2,immortal2
3,Reyna,1.1,17.4,15.8,3.8,0.5,0.08,238,116433,e5,act2,immortal2
4,Viper,1.0,14.8,14.8,5.6,0.49,0.07,203,102306,e5,act2,immortal2
5,Sova,1.0,14.8,14.8,5.6,0.52,0.068,203,98736,e5,act2,immortal2
6,Fade,0.96,14.4,15.1,6.9,0.49,0.066,199,95829,e5,act2,immortal2
7,Raze,1.03,16.6,16.2,4.7,0.5,0.062,237,90525,e5,act2,immortal2
8,Brimstone,0.98,14.6,14.9,7.9,0.51,0.053,205,77979,e5,act2,immortal2
9,Sage,0.95,14.2,15.0,6.5,0.51,0.05,195,72879,e5,act2,immortal2
10,Omen,0.98,14.9,15.3,6.7,0.48,0.047,202,68493,e5,act2,immortal2
11,KAY/O,0.91,14.2,15.6,8.1,0.45,0.037,201,54213,e5,act2,immortal2
12,Skye,0.97,14.8,15.3,5.9,0.51,0.032,200,47022,e5,act2,immortal2
13,Phoenix,1.09,17.2,15.7,4.1,0.52,0.03,239,43350,e5,act2,immortal2
14,Breach,0.92,14.1,15.4,6.1,0.46,0.025,194,36720,e5,act2,immortal2
15,Astra,1.01,15.0,14.9,6.0,0.48,0.02,201,28509,e5,act2,immortal2
16,Neon,0.95,15.7,16.6,3.8,0.47,0.018,220,25653,e5,act2,immortal2
17,Yoru,1.04,16.4,15.8,3.6,0.52,0.011,222,16014,e5,act2,immortal2
