rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Chamber,1.18,17.9,15.2,2.8,0.49,0.183,236,38097,e4,act3,radiant
2,Jett,1.09,17.9,16.5,3.4,0.51,0.148,243,30753,e4,act3,radiant
3,Reyna,1.15,18.2,15.8,3.6,0.53,0.087,244,18156,e4,act3,radiant
4,Sova,1.03,15.2,14.8,6.1,0.56,0.087,208,18105,e4,act3,radiant
5,Raze,1.05,17.2,16.4,4.8,0.53,0.082,242,16983,e4,act3,radiant
6,Omen,1.0,15.4,15.4,6.5,0.48,0.065,205,13617,e4,act3,radiant
7,Viper,1.02,15.0,14.8,5.6,0.5,0.058,206,12087,e4,act3,radiant
8,Sage,1.0,15.2,15.2,6.8,0.48,0.049,206,10149,e4,act3,radiant
9,Fade,0.97,15.1,15.5,7.7,0.47,0.044,204,9078,e4,act3,radiant
10,Brimstone,1.02,15.3,15.0,8.4,0.49,0.04,215,8262,e4,act3,radiant
11,KAY/O,1.07,16.5,15.4,8.3,0.55,0.035,223,7395,e4,act3,radiant
12,Skye,0.98,14.8,15.1,5.7,0.53,0.031,202,6477,e4,act3,radiant
13,Neon,1.04,17.2,16.6,3.7,0.54,0.024,235,4998,e4,act3,radiant
14,Breach,0.95,14.5,15.2,6.4,0.52,0.02,199,4182,e4,act3,radiant
15,Cypher,1.01,15.8,15.6,4.2,0.4,0.013,210,2703,e4,act3,radiant
16,Yoru,0.97,15.5,15.9,3.3,0.38,0.012,222,2550,e4,act3,radiant
17,Astra,1.06,16.1,15.2,6.3,0.51,0.011,205,2193,e4,act3,radiant
18,Killjoy,1.09,15.5,14.3,3.6,0.58,0.009,210,1836,e4,act3,radiant
19,Phoenix,1.0,16.3,16.2,4.9,0.43,0.003,232,714,e4,act3,radiant
1,Chamber,1.15,17.4,15.1,2.8,0.51,0.177,229,281571,e4,act3,immortal3
2,Jett,1.06,17.4,16.3,3.4,0.5,0.144,236,229143,e4,act3,immortal3
3,Reyna,1.13,17.8,15.8,3.6,0.52,0.091,241,144024,e4,act3,immortal3
4,Sova,0.97,14.4,14.9,5.8,0.49,0.072,199,114342,e4,act3,immortal3
5,Raze,1.03,16.8,16.4,4.8,0.51,0.068,240,107457,e4,act3,immortal3
6,Omen,0.99,15.0,15.2,6.5,0.49,0.066,202,104295,e4,act3,immortal3
7,Sage,0.99,14.8,15.0,6.8,0.52,0.059,201,93840,e4,act3,immortal3
8,Viper,1.01,14.9,14.8,5.4,0.5,0.059,202,93534,e4,act3,immortal3
9,Fade,0.97,14.8,15.2,7.5,0.48,0.055,200,87414,e4,act3,immortal3
10,Brimstone,0.99,14.9,15.0,8.0,0.53,0.052,205,82263,e4,act3,immortal3
11,Skye,0.97,15.0,15.5,5.7,0.52,0.035,202,55488,e4,act3,immortal3
12,KAY/O,0.92,14.4,15.6,8.3,0.46,0.033,204,51867,e4,act3,immortal3
13,Breach,0.94,14.3,15.3,5.9,0.49,0.025,194,40137,e4,act3,immortal3
14,Neon,0.98,16.4,16.7,3.8,0.5,0.02,227,31824,e4,act3,immortal3
15,Killjoy,1.02,15.1,14.8,3.6,0.49,0.013,206,20502,e4,act3,immortal3
16,Cypher,1.02,15.3,15.0,4.1,0.46,0.012,203,18972,e4,act3,immortal3
17,Yoru,1.05,17.1,16.2,3.5,0.51,0.01,225,15504,e4,act3,immortal3
18,Astra,1.0,15.0,15.0,6.4,0.47,0.009,203,13872,e4,act3,immortal3
19,Phoenix,1.03,16.3,15.8,3.5,0.54,0.003,227,4947,e4,act3,immortal3
1,Chamber,1.12,17.0,15.1,2.9,0.5,0.165,225,386172,e4,act3,immortal2
2,Jett,1.05,16.9,16.2,3.5,0.49,0.132,232,308754,e4,act3,immortal2
3,Reyna,1.11,17.5,15.7,3.7,0.51,0.103,239,240363,e4,act3,immortal2
4,Omen,0.97,14.8,15.3,6.5,0.49,0.069,200,160905,e4,act3,immortal2
5,Raze,1.02,16.6,16.3,4.8,0.5,0.068,236,158661,e4,act3,immortal2
6,Sova,0.96,14.1,14.7,5.8,0.5,0.066,198,154428,e4,act3,immortal2
7,Sage,0.96,14.5,15.0,6.9,0.52,0.063,198,147492,e4,act3,immortal2
8,Viper,1.0,14.6,14.6,5.3,0.51,0.062,200,144075,e4,act3,immortal2
9,Fade,0.96,14.6,15.1,7.4,0.5,0.058,201,136527,e4,act3,immortal2
10,Brimstone,0.99,14.7,14.9,7.8,0.51,0.052,204,122502,e4,act3,immortal2
11,Skye,0.95,14.6,15.4,5.8,0.5,0.037,198,87159,e4,act3,immortal2
12,KAY/O,0.92,14.6,15.8,8.3,0.45,0.036,205,84660,e4,act3,immortal2
13,Breach,0.93,14.1,15.2,5.8,0.49,0.023,191,54876,e4,act3,immortal2
14,Neon,0.99,16.2,16.4,3.9,0.5,0.019,226,43911,e4,act3,immortal2
15,Killjoy,1.04,15.1,14.5,3.7,0.49,0.013,206,31110,e4,act3,immortal2
16,Cypher,1.0,14.9,14.8,4.2,0.49,0.013,198,29835,e4,act3,immortal2
17,Yoru,1.0,15.6,15.6,3.5,0.49,0.009,217,21369,e4,act3,immortal2
18,Astra,0.98,14.6,15.0,6.2,0.45,0.009,199,20910,e4,act3,immortal2
19,Phoenix,1.05,16.6,15.8,3.8,0.53,0.003,228,6987,e4,act3,immortal2
1,Chamber,1.11,16.8,15.0,3.1,0.5,0.161,223,821253,e4,act3,immortal1
2,Jett,1.04,17.0,16.3,3.5,0.48,0.119,233,607767,e4,act3,immortal1
3,Reyna,1.1,17.4,15.8,3.7,0.51,0.11,238,559929,e4,act3,immortal1
4,Sage,0.96,14.5,15.0,6.9,0.51,0.074,198,376737,e4,act3,immortal1
5,Raze,1.02,16.4,16.1,4.8,0.5,0.069,235,351237,e4,act3,immortal1
6,Omen,0.97,14.7,15.2,6.3,0.49,0.068,201,345117,e4,act3,immortal1
7,Viper,0.97,14.4,14.8,5.3,0.5,0.063,198,319923,e4,act3,immortal1
8,Sova,0.96,14.3,14.8,5.9,0.5,0.061,199,312273,e4,act3,immortal1
9,Fade,0.96,14.5,15.2,7.3,0.52,0.054,200,276471,e4,act3,immortal1
10,Brimstone,0.98,14.6,15.0,7.9,0.51,0.054,205,272391,e4,act3,immortal1
11,Skye,0.95,14.6,15.4,5.7,0.5,0.037,198,190332,e4,act3,immortal1
12,KAY/O,0.92,14.4,15.6,8.1,0.46,0.037,203,185997,e4,act3,immortal1
13,Breach,0.93,14.3,15.4,5.9,0.48,0.023,195,115617,e4,act3,immortal1
14,Neon,0.97,16.1,16.6,3.9,0.48,0.019,224,94503,e4,act3,immortal1
15,Killjoy,1.03,14.9,14.5,3.7,0.5,0.016,204,82059,e4,act3,immortal1
16,Cypher,0.97,14.6,15.0,4.2,0.46,0.013,196,66810,e4,act3,immortal1
17,Yoru,1.0,15.9,15.9,3.4,0.49,0.009,216,46257,e4,act3,immortal1
18,Astra,1.02,15.1,14.8,5.8,0.5,0.008,204,41769,e4,act3,immortal1
19,Phoenix,1.01,16.2,16.0,3.7,0.45,0.004,227,20451,e4,act3,immortal1
1,Chamber,1.11,16.6,15.0,3.1,0.5,0.152,222,809931,e4,act3,diamond3
2,Jett,1.04,16.8,16.2,3.5,0.49,0.117,233,619191,e4,act3,diamond3
3,Reyna,1.1,17.4,15.8,3.8,0.5,0.114,238,603432,e4,act3,diamond3
