rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Phoenix,1.13,17.8,15.8,5.0,0.519,0.016,245,10303,e6,act2,radiant
2,Reyna,1.15,18.3,16.0,4.3,0.516,0.069,248,44273,e6,act2,radiant
3,Sage,1.0,15.2,15.1,7.3,0.513,0.036,206,23202,e6,act2,radiant
4,Brimstone,1.04,15.6,14.9,10.4,0.51,0.028,216,17644,e6,act2,radiant
5,Fade,1.03,15.6,15.1,6.9,0.504,0.023,211,14678,e6,act2,radiant
6,Killjoy,1.09,16.1,14.7,3.3,0.503,0.119,215,76299,e6,act2,radiant
7,Jett,1.11,18.1,16.3,3.5,0.502,0.184,245,117531,e6,act2,radiant
8,Sova,1.05,15.5,14.8,6.0,0.502,0.076,211,48853,e6,act2,radiant
9,Skye,1.0,15.3,15.3,8.4,0.502,0.037,206,23668,e6,act2,radiant
10,Raze,1.07,17.4,16.3,4.7,0.501,0.071,246,45198,e6,act2,radiant
11,Astra,1.08,15.8,14.7,7.4,0.498,0.034,209,21706,e6,act2,radiant
12,Viper,1.08,16.3,15.0,6.0,0.498,0.042,220,26846,e6,act2,radiant
13,Gekko,1.0,15.2,15.2,5.1,0.495,0.047,201,30053,e6,act2,radiant
14,Omen,1.02,15.4,15.1,9.0,0.492,0.076,208,48633,e6,act2,radiant
15,Cypher,1.07,15.9,14.9,4.5,0.491,0.039,210,24752,e6,act2,radiant
16,Neon,0.97,16.3,16.8,4.3,0.49,0.007,226,4333,e6,act2,radiant
17,Breach,0.96,14.7,15.4,8.3,0.482,0.039,199,24796,e6,act2,radiant
18,Chamber,1.14,17.4,15.2,2.5,0.482,0.02,229,12598,e6,act2,radiant
19,Yoru,1.02,16.6,16.3,5.0,0.478,0.007,228,4316,e6,act2,radiant
20,Harbor,0.96,14.7,15.3,6.7,0.475,0.011,198,7142,e6,act2,radiant
21,KAY/O,0.98,15.3,15.7,10.4,0.47,0.02,213,12670,e6,act2,radiant
1,Brimstone,1.01,15.1,14.9,10.3,0.518,0.038,210,106914,e6,act2,immortal3
2,Sage,0.99,14.9,15.1,7.2,0.515,0.046,203,128211,e6,act2,immortal3
3,Phoenix,1.1,17.4,15.8,5.0,0.513,0.021,239,60148,e6,act2,immortal3
4,Reyna,1.12,17.9,15.9,4.3,0.508,0.082,243,229421,e6,act2,immortal3
5,Killjoy,1.06,15.5,14.6,3.4,0.504,0.102,209,285842,e6,act2,immortal3
6,Raze,1.05,17.1,16.3,4.7,0.504,0.068,242,191659,e6,act2,immortal3
7,Viper,1.04,15.7,15.0,6.1,0.502,0.037,212,103935,e6,act2,immortal3
8,Gekko,0.97,14.8,15.2,5.0,0.501,0.053,197,147350,e6,act2,immortal3
9,Sova,1.01,15.0,14.8,6.0,0.5,0.069,206,193264,e6,act2,immortal3
10,Astra,1.05,15.4,14.6,7.5,0.5,0.034,206,96598,e6,act2,immortal3
11,Jett,1.08,17.6,16.3,3.5,0.499,0.167,239,468149,e6,act2,immortal3
12,Fade,0.99,15.0,15.2,6.8,0.498,0.023,203,64802,e6,act2,immortal3
13,Skye,0.97,14.8,15.2,8.2,0.495,0.029,201,82186,e6,act2,immortal3
14,Cypher,1.03,15.3,14.8,4.6,0.495,0.048,204,134136,e6,act2,immortal3
15,Omen,1.0,15.1,15.1,9.0,0.495,0.077,205,215354,e6,act2,immortal3
16,Breach,0.94,14.4,15.3,8.3,0.49,0.041,196,115249,e6,act2,immortal3
17,Neon,0.98,16.5,16.7,4.3,0.482,0.008,227,21306,e6,act2,immortal3
18,Yoru,1.02,16.4,16.1,4.8,0.482,0.008,223,22550,e6,act2,immortal3
19,Chamber,1.11,16.9,15.3,2.5,0.479,0.021,222,57515,e6,act2,immortal3
20,Harbor,0.95,14.5,15.3,6.6,0.471,0.01,195,26923,e6,act2,immortal3
21,KAY/O,0.94,14.8,15.7,10.1,0.451,0.019,208,52085,e6,act2,immortal3
1,Brimstone,1.01,15.0,14.9,10.1,0.515,0.041,209,149226,e6,act2,immortal2
2,Phoenix,1.1,17.3,15.7,5.0,0.515,0.022,239,79381,e6,act2,immortal2
3,Sage,0.97,14.7,15.1,7.3,0.513,0.049,201,181172,e6,act2,immortal2
4,Killjoy,1.05,15.3,14.5,3.5,0.502,0.094,207,345745,e6,act2,immortal2
5,Reyna,1.12,17.8,15.9,4.3,0.501,0.088,242,324305,e6,act2,immortal2
6,Raze,1.04,16.9,16.3,4.8,0.496,0.067,241,246898,e6,act2,immortal2
7,Astra,1.04,15.3,14.7,7.5,0.495,0.032,206,116237,e6,act2,immortal2
8,Viper,1.03,15.4,15.0,6.1,0.495,0.038,210,140864,e6,act2,immortal2
9,Sova,1.01,14.9,14.8,6.0,0.494,0.062,205,229339,e6,act2,immortal2
10,Gekko,0.97,14.7,15.2,5.0,0.494,0.06,196,221981,e6,act2,immortal2
11,Jett,1.08,17.5,16.2,3.6,0.493,0.164,238,603386,e6,act2,immortal2
12,Fade,0.98,14.8,15.2,6.8,0.493,0.025,202,90780,e6,act2,immortal2
13,Skye,0.96,14.7,15.3,8.1,0.492,0.029,201,108469,e6,act2,immortal2
14,Cypher,1.02,15.2,14.8,4.6,0.49,0.047,203,171712,e6,act2,immortal2
15,Omen,0.99,15.0,15.1,8.9,0.49,0.074,205,273703,e6,act2,immortal2
16,Yoru,1.02,16.3,16.0,4.8,0.489,0.008,222,29541,e6,act2,immortal2
17,Breach,0.94,14.4,15.4,8.0,0.487,0.039,196,143788,e6,act2,immortal2
18,Neon,0.98,16.3,16.6,4.3,0.478,0.008,226,29239,e6,act2,immortal2
19,Chamber,1.1,16.7,15.2,2.6,0.476,0.022,220,80855,e6,act2,immortal2
20,Harbor,0.93,14.2,15.3,6.5,0.455,0.011,193,40275,e6,act2,immortal2
21,KAY/O,0.93,14.7,15.7,9.9,0.45,0.019,206,70848,e6,act2,immortal2
1,Brimstone,1.0,14.9,14.9,9.8,0.512,0.043,209,311434,e6,act2,immortal1
2,Sage,0.96,14.6,15.1,7.2,0.505,0.057,200,413962,e6,act2,immortal1
3,Phoenix,1.09,17.2,15.8,4.9,0.503,0.023,238,167917,e6,act2,immortal1
4,Killjoy,1.05,15.2,14.5,3.6,0.501,0.087,206,638956,e6,act2,immortal1
5,Reyna,1.11,17.7,15.9,4.3,0.498,0.09,241,661714,e6,act2,immortal1
6,Raze,1.04,16.9,16.2,4.8,0.495,0.067,241,493941,e6,act2,immortal1
7,Viper,1.03,15.3,14.9,6.1,0.495,0.039,210,288850,e6,act2,immortal1
8,Astra,1.04,15.3,14.7,7.4,0.494,0.029,207,213432,e6,act2,immortal1
9,Gekko,0.96,14.6,15.2,5.0,0.493,0.062,196,454263,e6,act2,immortal1
10,Sova,1.0,14.8,14.8,6.0,0.492,0.058,205,424174,e6,act2,immortal1
11,Jett,1.07,17.4,16.2,3.6,0.489,0.158,238,1156849,e6,act2,immortal1
12,Skye,0.96,14.6,15.3,8.0,0.488,0.03,201,220122,e6,act2,immortal1
13,Cypher,1.02,15.1,14.8,4.7,0.487,0.046,202,337726,e6,act2,immortal1
14,Fade,0.97,14.7,15.2,6.7,0.487,0.027,201,196362,e6,act2,immortal1
15,Omen,0.99,15.0,15.2,8.7,0.484,0.073,205,532046,e6,act2,immortal1
16,Breach,0.94,14.4,15.4,7.8,0.482,0.037,197,273543,e6,act2,immortal1
17,Chamber,1.09,16.5,15.2,2.7,0.473,0.024,220,177038,e6,act2,immortal1
18,Yoru,1.01,16.1,15.9,4.6,0.472,0.008,221,55799,e6,act2,immortal1
19,Neon,0.97,16.2,16.7,4.3,0.466,0.009,225,63578,e6,act2,immortal1
20,Harbor,0.93,14.2,15.3,6.5,0.46,0.012,193,85165,e6,act2,immortal1
21,KAY/O,0.93,14.6,15.7,9.7,0.443,0.022,206,158814,e6,act2,immortal1
1,Brimstone,0.99,14.9,14.9,9.7,0.514,0.045,208,435328,e6,act2,ascendant3
2,Sage,0.97,14.5,15.0,7.2,0.51,0.061,199,595104,e6,act2,ascendant3
3,Phoenix,1.11,17.4,15.7,4.9,0.509,0.025,240,238357,e6,act2,ascendant3
4,Killjoy,1.04,15.1,14.5,3.6,0.502,0.082,205,795803,e6,act2,ascendant3
