rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Jett,1.16,19.9,17.1,3.6,0.54,0.217,256,2091,e4,act1,radiant
2,Reyna,1.05,17.6,16.7,3.7,0.48,0.143,236,1377,e4,act1,radiant
3,Sova,1.12,16.1,14.3,6.3,0.65,0.122,207,1173,e4,act1,radiant
4,Chamber,1.11,17.2,15.4,2.6,0.37,0.101,236,969,e4,act1,radiant
5,Viper,1.32,16.8,12.8,5.4,0.69,0.069,236,663,e4,act1,radiant
6,Astra,0.98,14.4,14.6,5.6,0.46,0.058,189,561,e4,act1,radiant
7,Neon,1.06,18.7,17.6,3.8,0.33,0.048,241,459,e4,act1,radiant
8,Sage,0.79,12.8,16.1,6.5,0.25,0.042,172,408,e4,act1,radiant
9,Omen,1.01,15.0,14.9,6.6,0.43,0.037,202,357,e4,act1,radiant
10,Breach,1.05,14.5,13.8,6.3,0.67,0.032,184,306,e4,act1,radiant
11,Skye,0.88,16.2,18.3,6.8,0.67,0.032,210,306,e4,act1,radiant
12,Killjoy,1.1,14.8,13.4,2.2,0.4,0.026,198,255,e4,act1,radiant
13,Raze,1.09,21.3,19.5,6.8,0.25,0.021,269,204,e4,act1,radiant
14,Cypher,0.73,14.3,19.7,6.7,0.33,0.016,189,153,e4,act1,radiant
15,KAY/O,1.26,16.0,12.7,11.3,1.0,0.016,212,153,e4,act1,radiant
16,Brimstone,1.03,17.5,17.0,8.0,1.0,0.011,193,102,e4,act1,radiant
17,Yoru,1.11,21.0,19.0,3.0,0.0,0.011,264,102,e4,act1,radiant
1,Jett,1.12,18.0,16.1,3.4,0.55,0.216,240,16473,e4,act1,immortal3
2,Reyna,1.07,17.6,16.4,3.8,0.49,0.115,232,8772,e4,act1,immortal3
3,Chamber,1.11,17.3,15.6,2.7,0.48,0.102,223,7752,e4,act1,immortal3
4,Sova,1.0,15.0,15.0,6.3,0.45,0.096,199,7293,e4,act1,immortal3
5,Viper,1.02,15.2,14.9,5.6,0.52,0.079,197,6018,e4,act1,immortal3
6,Astra,0.98,15.2,15.4,6.4,0.44,0.073,200,5559,e4,act1,immortal3
7,Sage,1.01,14.9,14.7,7.0,0.56,0.068,196,5151,e4,act1,immortal3
8,Raze,1.03,16.5,16.0,4.8,0.55,0.05,235,3774,e4,act1,immortal3
9,Neon,1.01,17.9,17.7,3.8,0.49,0.044,236,3315,e4,act1,immortal3
10,Skye,0.87,12.8,14.7,5.7,0.53,0.035,177,2703,e4,act1,immortal3
11,Cypher,1.03,14.6,14.2,3.8,0.5,0.025,195,1938,e4,act1,immortal3
12,Omen,0.93,14.8,15.9,6.9,0.49,0.025,189,1887,e4,act1,immortal3
13,Killjoy,0.99,14.3,14.5,4.0,0.59,0.019,197,1479,e4,act1,immortal3
14,Breach,0.8,11.7,14.6,5.1,0.56,0.018,162,1377,e4,act1,immortal3
15,KAY/O,0.75,11.8,15.7,8.5,0.37,0.018,165,1377,e4,act1,immortal3
16,Brimstone,0.89,13.8,15.6,8.8,0.44,0.012,180,918,e4,act1,immortal3
17,Yoru,1.14,18.0,15.8,3.3,0.5,0.003,235,204,e4,act1,immortal3
18,Phoenix,0.46,8.7,19.0,4.3,0.33,0.002,122,153,e4,act1,immortal3
1,Jett,1.1,17.5,15.9,3.5,0.52,0.186,241,27744,e4,act1,immortal2
2,Reyna,1.06,16.9,15.9,3.7,0.48,0.13,232,19329,e4,act1,immortal2
3,Chamber,1.09,16.7,15.3,2.8,0.51,0.103,218,15351,e4,act1,immortal2
4,Sova,0.97,14.6,15.0,6.6,0.46,0.095,198,14127,e4,act1,immortal2
5,Viper,0.98,14.6,14.9,5.2,0.47,0.081,198,12087,e4,act1,immortal2
6,Sage,0.96,14.8,15.4,6.9,0.53,0.073,193,10914,e4,act1,immortal2
7,Astra,1.0,15.3,15.3,6.0,0.48,0.056,196,8313,e4,act1,immortal2
8,Neon,0.96,16.4,17.1,4.1,0.54,0.052,225,7803,e4,act1,immortal2
9,Raze,1.03,16.2,15.6,5.2,0.5,0.043,234,6477,e4,act1,immortal2
10,Skye,0.96,15.3,15.9,6.1,0.49,0.034,199,5100,e4,act1,immortal2
11,Omen,1.05,15.6,14.9,6.1,0.56,0.032,206,4794,e4,act1,immortal2
12,Killjoy,1.04,15.3,14.6,3.7,0.45,0.031,206,4692,e4,act1,immortal2
13,Cypher,0.94,14.0,14.9,3.9,0.52,0.028,186,4131,e4,act1,immortal2
14,Brimstone,0.99,14.4,14.5,7.2,0.52,0.021,203,3162,e4,act1,immortal2
15,Breach,0.87,13.5,15.6,5.5,0.45,0.014,189,2040,e4,act1,immortal2
16,KAY/O,0.94,14.7,15.6,8.3,0.53,0.012,196,1836,e4,act1,immortal2
17,Yoru,1.26,19.2,15.2,2.9,0.69,0.004,243,663,e4,act1,immortal2
18,Phoenix,1.14,14.9,13.1,3.6,0.6,0.003,232,510,e4,act1,immortal2
