rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Chamber,1.16,16.7,14.5,2.6,0.542,0.017,220,321,e9,act2,radiant
2,Brimstone,1.06,16.0,15.1,10.1,0.538,0.007,216,130,e9,act2,radiant
3,Reyna,1.17,18.1,15.6,4.3,0.531,0.068,242,1272,e9,act2,radiant
4,Jett,1.14,18.2,16.0,3.2,0.528,0.132,244,2451,e9,act2,radiant
5,Neon,1.02,17.3,16.9,4.9,0.527,0.079,237,1477,e9,act2,radiant
6,Iso,1.13,18.4,16.2,4.3,0.519,0.068,248,1269,e9,act2,radiant
7,Cypher,1.09,15.7,14.3,4.7,0.518,0.081,209,1499,e9,act2,radiant
8,Clove,1.01,17.9,17.8,7.8,0.518,0.125,241,2316,e9,act2,radiant
9,Gekko,0.98,14.8,15.1,5.0,0.517,0.022,194,404,e9,act2,radiant
10,Breach,1.0,14.7,14.7,9.5,0.517,0.014,200,269,e9,act2,radiant
11,Deadlock,1.08,16.5,15.3,4.9,0.508,0.014,209,258,e9,act2,radiant
12,Raze,1.11,18.0,16.2,4.0,0.503,0.048,247,899,e9,act2,radiant
13,Sage,0.97,14.5,15.0,6.0,0.5,0.003,201,54,e9,act2,radiant
14,Sova,1.07,15.7,14.7,5.7,0.497,0.121,211,2246,e9,act2,radiant
15,Skye,0.95,14.2,14.9,7.1,0.487,0.017,190,308,e9,act2,radiant
16,Yoru,1.05,16.8,16.1,4.7,0.482,0.017,230,309,e9,act2,radiant
17,KAY/O,0.97,15.7,16.1,11.6,0.48,0.01,213,177,e9,act2,radiant
18,Killjoy,1.1,16.4,15.0,2.9,0.476,0.058,215,1077,e9,act2,radiant
19,Fade,1.08,15.7,14.6,7.6,0.475,0.02,210,377,e9,act2,radiant
20,Vyse,1.09,16.5,15.1,5.3,0.473,0.003,224,55,e9,act2,radiant
1,Sage,0.99,14.7,14.9,6.8,0.552,0.005,201,259,e9,act2,immortal3
2,Chamber,1.15,17.0,14.8,2.6,0.541,0.025,224,1286,e9,act2,immortal3
3,Iso,1.17,18.2,15.6,4.1,0.539,0.053,248,2752,e9,act2,immortal3
4,Neon,1.02,17.1,16.7,4.7,0.533,0.061,237,3140,e9,act2,immortal3
5,Clove,0.98,17.3,17.6,7.7,0.526,0.129,234,6702,e9,act2,immortal3
6,Breach,0.98,14.2,14.6,8.8,0.519,0.015,197,772,e9,act2,immortal3
7,Deadlock,1.06,15.8,15.0,4.4,0.509,0.015,207,752,e9,act2,immortal3
8,Cypher,1.03,15.1,14.6,4.5,0.508,0.087,200,4489,e9,act2,immortal3
9,Fade,1.02,15.2,14.9,7.5,0.504,0.016,204,833,e9,act2,immortal3
10,Brimstone,0.98,14.8,15.1,9.9,0.504,0.007,206,385,e9,act2,immortal3
11,Sova,1.01,14.7,14.5,5.6,0.499,0.115,202,5972,e9,act2,immortal3
12,Skye,0.93,13.7,14.8,7.6,0.499,0.017,186,878,e9,act2,immortal3
13,Jett,1.09,17.5,16.0,3.0,0.498,0.14,236,7257,e9,act2,immortal3
14,Gekko,0.96,14.3,14.9,5.3,0.498,0.027,191,1380,e9,act2,immortal3
15,Reyna,1.11,17.5,15.7,4.2,0.498,0.088,236,4570,e9,act2,immortal3
16,Raze,1.04,16.7,16.0,4.0,0.497,0.042,232,2163,e9,act2,immortal3
17,Killjoy,1.06,15.4,14.5,2.9,0.497,0.056,205,2920,e9,act2,immortal3
18,Phoenix,1.12,17.3,15.5,4.8,0.491,0.011,238,584,e9,act2,immortal3
19,Yoru,1.03,16.2,15.7,4.5,0.485,0.015,222,800,e9,act2,immortal3
20,KAY/O,0.96,14.6,15.2,10.4,0.482,0.007,205,357,e9,act2,immortal3
