rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Clove,1.02,18.2,17.9,7.8,0.537,0.107,245,27015,e8,act3,radiant
2,Yoru,1.06,17.0,16.0,4.7,0.527,0.013,228,3330,e8,act3,radiant
3,Iso,1.19,19.2,16.1,4.5,0.525,0.063,261,15992,e8,act3,radiant
4,Phoenix,1.11,17.4,15.7,5.0,0.52,0.01,237,2505,e8,act3,radiant
5,Deadlock,1.1,16.3,14.8,4.7,0.519,0.014,213,3643,e8,act3,radiant
6,Fade,1.03,15.3,14.8,7.3,0.515,0.017,205,4395,e8,act3,radiant
7,Neon,1.01,17.1,16.9,4.7,0.514,0.021,233,5260,e8,act3,radiant
8,Sage,0.97,14.6,15.0,6.3,0.513,0.002,196,561,e8,act3,radiant
9,Raze,1.09,17.7,16.2,4.1,0.509,0.084,244,21284,e8,act3,radiant
10,Reyna,1.14,18.0,15.9,4.2,0.509,0.087,241,22156,e8,act3,radiant
11,Gekko,1.0,14.8,14.8,5.4,0.508,0.054,195,13686,e8,act3,radiant
12,Jett,1.11,18.0,16.2,3.2,0.506,0.135,240,34140,e8,act3,radiant
13,Cypher,1.08,15.8,14.7,4.8,0.503,0.068,208,17190,e8,act3,radiant
14,Sova,1.06,15.4,14.6,5.7,0.502,0.084,209,21312,e8,act3,radiant
15,Viper,1.08,16.2,15.0,5.0,0.501,0.035,215,8876,e8,act3,radiant
16,Skye,0.98,14.8,15.1,7.7,0.501,0.026,197,6543,e8,act3,radiant
17,Killjoy,1.1,16.1,14.7,3.0,0.499,0.076,212,19250,e8,act3,radiant
18,Chamber,1.15,17.4,15.2,2.7,0.496,0.022,226,5668,e8,act3,radiant
19,Breach,0.99,14.9,15.1,9.1,0.487,0.009,200,2300,e8,act3,radiant
20,Brimstone,1.04,15.7,15.1,10.0,0.48,0.012,216,2967,e8,act3,radiant
1,Sage,1.0,14.8,14.8,6.7,0.541,0.006,201,5832,e8,act3,immortal3
2,Clove,0.99,17.7,17.8,7.8,0.529,0.12,239,115562,e8,act3,immortal3
3,Phoenix,1.11,17.3,15.5,4.8,0.528,0.013,237,12838,e8,act3,immortal3
4,Deadlock,1.06,15.8,14.9,4.6,0.527,0.012,208,11284,e8,act3,immortal3
5,Iso,1.17,18.7,16.0,4.4,0.517,0.059,255,57191,e8,act3,immortal3
6,Reyna,1.12,17.6,15.7,4.2,0.51,0.09,237,86674,e8,act3,immortal3
7,Jett,1.09,17.6,16.1,3.1,0.507,0.137,237,132332,e8,act3,immortal3
8,Fade,1.01,14.9,14.8,7.3,0.507,0.014,201,13737,e8,act3,immortal3
9,Gekko,0.97,14.3,14.8,5.3,0.505,0.054,189,51732,e8,act3,immortal3
10,Yoru,1.03,16.3,15.9,4.5,0.502,0.011,221,10459,e8,act3,immortal3
11,Killjoy,1.06,15.5,14.6,3.0,0.502,0.072,205,69280,e8,act3,immortal3
12,Cypher,1.03,15.1,14.6,4.7,0.5,0.075,201,72346,e8,act3,immortal3
13,Sova,1.01,14.8,14.6,5.6,0.5,0.087,202,83595,e8,act3,immortal3
14,Raze,1.05,17.0,16.1,4.1,0.499,0.075,236,72003,e8,act3,immortal3
15,Chamber,1.12,16.8,15.0,2.6,0.495,0.025,221,24541,e8,act3,immortal3
16,Neon,0.97,16.3,16.8,4.6,0.495,0.016,225,15638,e8,act3,immortal3
17,Viper,1.05,15.6,14.9,5.0,0.494,0.029,208,28150,e8,act3,immortal3
18,Skye,0.96,14.4,15.0,7.5,0.485,0.026,193,25511,e8,act3,immortal3
19,Harbor,0.95,14.5,15.2,6.5,0.483,0.003,192,2550,e8,act3,immortal3
20,Breach,0.96,14.3,15.0,8.8,0.482,0.012,195,11644,e8,act3,immortal3
1,Clove,0.98,17.6,17.8,7.7,0.529,0.119,238,154190,e8,act3,immortal2
2,Deadlock,1.06,15.8,14.9,4.6,0.522,0.01,208,12953,e8,act3,immortal2
3,Sage,0.99,14.6,14.8,6.6,0.515,0.008,199,10709,e8,act3,immortal2
4,Phoenix,1.11,17.3,15.6,4.8,0.514,0.015,237,19601,e8,act3,immortal2
5,Iso,1.16,18.6,16.0,4.4,0.51,0.05,254,63993,e8,act3,immortal2
6,Killjoy,1.05,15.3,14.5,3.0,0.502,0.066,204,84964,e8,act3,immortal2
7,Reyna,1.11,17.5,15.8,4.2,0.502,0.094,237,121347,e8,act3,immortal2
8,Fade,1.0,14.8,14.9,7.2,0.5,0.014,201,17511,e8,act3,immortal2
9,Cypher,1.03,14.9,14.6,4.8,0.499,0.077,199,98957,e8,act3,immortal2
10,Sova,1.01,14.7,14.6,5.7,0.499,0.085,201,109606,e8,act3,immortal2
11,Gekko,0.96,14.2,14.8,5.2,0.497,0.056,189,72775,e8,act3,immortal2
12,Raze,1.05,16.9,16.1,4.1,0.497,0.076,236,98278,e8,act3,immortal2
13,Jett,1.09,17.5,16.1,3.2,0.497,0.137,236,177679,e8,act3,immortal2
14,Yoru,1.03,16.3,15.9,4.5,0.491,0.012,222,14882,e8,act3,immortal2
15,Chamber,1.12,16.7,15.0,2.7,0.489,0.03,221,39283,e8,act3,immortal2
16,Neon,0.97,16.3,16.8,4.5,0.488,0.015,224,19153,e8,act3,immortal2
17,Skye,0.95,14.3,15.0,7.4,0.488,0.026,194,33829,e8,act3,immortal2
18,Viper,1.04,15.5,15.0,5.2,0.485,0.026,208,34120,e8,act3,immortal2
19,Breach,0.96,14.5,15.1,8.6,0.482,0.013,196,16918,e8,act3,immortal2
20,Brimstone,1.01,15.1,15.0,10.1,0.477,0.012,212,15594,e8,act3,immortal2
1,Clove,0.98,17.4,17.8,7.6,0.521,0.116,237,386374,e8,act3,immortal1
2,Deadlock,1.05,15.6,14.9,4.4,0.515,0.01,207,31733,e8,act3,immortal1
3,Phoenix,1.1,17.1,15.6,4.8,0.508,0.017,236,56383,e8,act3,immortal1
4,Sage,0.96,14.4,15.0,6.7,0.506,0.012,197,40115,e8,act3,immortal1
5,Iso,1.14,18.3,16.0,4.4,0.503,0.046,252,151884,e8,act3,immortal1
6,Killjoy,1.04,15.1,14.6,3.1,0.495,0.059,203,196555,e8,act3,immortal1
7,Cypher,1.01,14.8,14.6,4.8,0.494,0.079,198,261532,e8,act3,immortal1
8,Gekko,0.95,14.1,14.9,5.2,0.494,0.059,188,194892,e8,act3,immortal1
9,Reyna,1.1,17.4,15.8,4.2,0.493,0.095,236,314635,e8,act3,immortal1
10,Fade,0.98,14.6,14.9,7.1,0.49,0.013,199,44814,e8,act3,immortal1
11,Sova,1.0,14.6,14.6,5.7,0.49,0.08,201,266449,e8,act3,immortal1
12,Raze,1.04,16.8,16.1,4.2,0.489,0.074,235,245013,e8,act3,immortal1
13,Jett,1.07,17.3,16.1,3.2,0.488,0.135,235,449677,e8,act3,immortal1
14,Viper,1.04,15.5,15.0,5.2,0.483,0.024,209,79948,e8,act3,immortal1
15,Neon,0.96,16.1,16.8,4.4,0.48,0.014,223,47793,e8,act3,immortal1
16,Chamber,1.09,16.5,15.1,2.8,0.478,0.038,219,125218,e8,act3,immortal1
17,Skye,0.95,14.3,15.1,7.3,0.478,0.027,194,89106,e8,act3,immortal1
18,Breach,0.94,14.3,15.2,8.2,0.475,0.015,194,48456,e8,act3,immortal1
19,Yoru,1.02,16.3,15.9,4.4,0.471,0.011,222,36863,e8,act3,immortal1
20,Brimstone,1.0,15.0,15.0,9.8,0.467,0.013,210,43098,e8,act3,immortal1
1,Clove,0.98,17.4,17.8,7.5,0.525,0.113,237,691976,e8,act3,ascendant3
2,Deadlock,1.05,15.6,14.9,4.4,0.511,0.009,207,57684,e8,act3,ascendant3
3,Iso,1.15,18.4,16.0,4.4,0.506,0.046,253,280734,e8,act3,ascendant3
4,Sage,0.96,14.4,15.0,6.7,0.506,0.016,197,96955,e8,act3,ascendant3
5,Phoenix,1.1,17.1,15.6,4.8,0.505,0.018,237,112162,e8,act3,ascendant3
6,Gekko,0.95,14.1,14.8,5.2,0.497,0.06,189,363816,e8,act3,ascendant3
7,Killjoy,1.04,15.1,14.5,3.2,0.497,0.055,204,338296,e8,act3,ascendant3
8,Reyna,1.11,17.4,15.8,4.2,0.497,0.095,237,578733,e8,act3,ascendant3
9,Sova,1.0,14.7,14.6,5.7,0.496,0.077,202,469225,e8,act3,ascendant3
10,Cypher,1.02,14.8,14.6,4.9,0.496,0.079,198,483093,e8,act3,ascendant3
11,Fade,0.98,14.6,14.9,7.1,0.496,0.014,199,82473,e8,act3,ascendant3
12,Jett,1.08,17.4,16.1,3.3,0.491,0.131,236,797847,e8,act3,ascendant3
13,Raze,1.04,16.8,16.1,4.3,0.49,0.073,235,443391,e8,act3,ascendant3
14,Chamber,1.1,16.5,15.0,2.9,0.483,0.041,220,251298,e8,act3,ascendant3
15,Viper,1.04,15.5,15.0,5.3,0.483,0.022,209,137052,e8,act3,ascendant3
16,Neon,0.96,16.2,16.8,4.4,0.483,0.014,224,86108,e8,act3,ascendant3
17,Skye,0.95,14.4,15.2,7.3,0.483,0.027,196,162883,e8,act3,ascendant3
18,Breach,0.94,14.3,15.2,8.0,0.478,0.016,195,97047,e8,act3,ascendant3
19,Yoru,1.03,16.3,15.9,4.4,0.476,0.011,223,66216,e8,act3,ascendant3
20,Brimstone,1.0,15.0,15.0,9.7,0.474,0.014,211,86968,e8,act3,ascendant3
1,Clove,0.98,17.3,17.7,7.4,0.524,0.11,236,984457,e8,act3,ascendant2
2,Deadlock,1.04,15.5,14.9,4.4,0.509,0.01,206,88875,e8,act3,ascendant2
3,Sage,0.95,14.3,15.0,6.8,0.506,0.02,195,182382,e8,act3,ascendant2
4,Phoenix,1.09,17.1,15.6,4.8,0.502,0.02,237,176910,e8,act3,ascendant2
5,Iso,1.14,18.2,16.0,4.4,0.502,0.044,251,392112,e8,act3,ascendant2
6,Killjoy,1.04,15.0,14.5,3.3,0.496,0.053,203,478219,e8,act3,ascendant2
7,Sova,1.0,14.7,14.6,5.7,0.496,0.073,202,658801,e8,act3,ascendant2
8,Cypher,1.01,14.8,14.6,4.9,0.495,0.078,198,703369,e8,act3,ascendant2
9,Gekko,0.94,14.0,14.9,5.2,0.495,0.061,189,546581,e8,act3,ascendant2
10,Reyna,1.11,17.4,15.8,4.2,0.495,0.095,237,851881,e8,act3,ascendant2
11,Fade,0.98,14.6,14.9,7.0,0.49,0.014,199,125596,e8,act3,ascendant2
12,Raze,1.04,16.7,16.1,4.3,0.489,0.072,235,650103,e8,act3,ascendant2
13,Jett,1.07,17.3,16.1,3.3,0.488,0.125,235,1122001,e8,act3,ascendant2
14,Skye,0.95,14.3,15.2,7.3,0.482,0.027,196,244265,e8,act3,ascendant2
15,Chamber,1.1,16.5,15.0,2.9,0.482,0.044,219,395860,e8,act3,ascendant2
16,Viper,1.03,15.5,15.0,5.3,0.482,0.021,209,191576,e8,act3,ascendant2
17,Neon,0.95,16.0,16.8,4.4,0.477,0.015,223,132009,e8,act3,ascendant2
18,Breach,0.94,14.3,15.3,7.8,0.476,0.017,196,157080,e8,act3,ascendant2
19,Brimstone,1.0,14.9,15.0,9.6,0.473,0.015,210,138130,e8,act3,ascendant2
20,Yoru,1.02,16.2,15.9,4.4,0.472,0.011,222,97580,e8,act3,ascendant2
1,Clove,0.97,17.2,17.7,7.3,0.523,0.107,235,1223183,e8,act3,ascendant1
2,Deadlock,1.03,15.3,14.9,4.4,0.506,0.01,205,114152,e8,act3,ascendant1
3,Phoenix,1.09,17.0,15.6,4.7,0.501,0.021,236,235392,e8,act3,ascendant1
4,Sage,0.94,14.0,15.0,6.8,0.501,0.025,193,288241,e8,act3,ascendant1
5,Iso,1.13,18.1,16.0,4.4,0.5,0.041,250,464259,e8,act3,ascendant1
6,Gekko,0.94,13.9,14.9,5.2,0.497,0.062,188,709622,e8,act3,ascendant1
7,Killjoy,1.02,14.8,14.5,3.3,0.496,0.053,201,598610,e8,act3,ascendant1
8,Sova,1.0,14.6,14.6,5.6,0.495,0.069,201,790880,e8,act3,ascendant1
9,Reyna,1.1,17.4,15.8,4.3,0.495,0.095,237,1077449,e8,act3,ascendant1
10,Cypher,1.01,14.7,14.6,4.9,0.495,0.078,197,886575,e8,act3,ascendant1
11,Fade,0.97,14.5,14.9,6.9,0.494,0.015,198,165676,e8,act3,ascendant1
12,Raze,1.03,16.6,16.1,4.3,0.489,0.071,234,806639,e8,act3,ascendant1
13,Jett,1.07,17.2,16.1,3.4,0.488,0.119,235,1360157,e8,act3,ascendant1
14,Skye,0.94,14.3,15.2,7.3,0.483,0.028,195,314086,e8,act3,ascendant1
15,Chamber,1.09,16.4,15.0,2.9,0.483,0.046,219,522343,e8,act3,ascendant1
16,Viper,1.03,15.4,14.9,5.3,0.482,0.02,208,230308,e8,act3,ascendant1
17,Brimstone,0.99,14.8,15.0,9.4,0.479,0.017,209,191277,e8,act3,ascendant1
18,Breach,0.93,14.2,15.3,7.6,0.478,0.019,196,215292,e8,act3,ascendant1
19,Neon,0.95,15.9,16.8,4.4,0.476,0.015,222,167758,e8,act3,ascendant1
20,Yoru,1.02,16.2,15.9,4.3,0.473,0.011,222,124490,e8,act3,ascendant1
