rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Jett,1.16,18.3,15.8,3.5,0.52,0.202,250,65229,e3,act2,radiant
2,Reyna,1.11,17.6,15.9,3.8,0.48,0.156,241,50286,e3,act2,radiant
3,Sova,1.03,14.7,14.3,6.4,0.51,0.114,207,36669,e3,act2,radiant
4,Sage,1.01,14.9,14.7,6.7,0.53,0.091,203,29274,e3,act2,radiant
5,Viper,1.03,15.1,14.6,5.5,0.51,0.073,207,23664,e3,act2,radiant
6,Raze,1.03,16.7,16.2,4.9,0.55,0.064,242,20706,e3,act2,radiant
7,Omen,0.99,14.9,15.0,6.3,0.5,0.056,200,18003,e3,act2,radiant
8,Skye,0.97,15.0,15.5,5.4,0.52,0.054,201,17493,e3,act2,radiant
9,Killjoy,1.11,15.6,14.1,3.6,0.51,0.047,216,15045,e3,act2,radiant
10,Cypher,1.03,15.3,14.8,3.8,0.53,0.046,203,14841,e3,act2,radiant
11,Astra,1.08,15.6,14.4,5.6,0.55,0.045,206,14586,e3,act2,radiant
12,Breach,0.93,13.9,14.9,6.2,0.46,0.015,191,4794,e3,act2,radiant
13,KAY/O,0.94,14.1,15.0,8.1,0.4,0.012,202,3825,e3,act2,radiant
14,Brimstone,1.05,15.1,14.4,7.2,0.58,0.012,208,3774,e3,act2,radiant
15,Phoenix,1.06,16.9,15.9,3.4,0.39,0.009,236,2907,e3,act2,radiant
16,Yoru,1.0,16.5,16.5,3.0,0.34,0.005,224,1632,e3,act2,radiant
1,Jett,1.11,17.7,16.0,3.6,0.5,0.192,242,234090,e3,act2,immortal3
2,Reyna,1.1,17.5,16.0,3.8,0.51,0.141,240,172431,e3,act2,immortal3
3,Sage,0.98,14.6,14.9,6.9,0.52,0.11,196,133722,e3,act2,immortal3
4,Sova,1.0,14.6,14.7,6.5,0.52,0.106,204,128979,e3,act2,immortal3
5,Viper,1.0,14.7,14.7,5.5,0.5,0.074,202,90780,e3,act2,immortal3
6,Omen,0.99,15.3,15.5,6.3,0.49,0.06,202,73440,e3,act2,immortal3
7,Raze,1.01,16.5,16.3,4.8,0.51,0.058,238,70992,e3,act2,immortal3
8,Killjoy,1.05,15.2,14.4,3.8,0.53,0.056,208,68697,e3,act2,immortal3
9,Skye,0.94,14.6,15.5,5.5,0.47,0.052,197,63393,e3,act2,immortal3
10,Cypher,0.98,14.8,15.1,3.9,0.46,0.045,196,55284,e3,act2,immortal3
11,Astra,1.03,15.0,14.6,5.9,0.53,0.04,201,48705,e3,act2,immortal3
12,Brimstone,0.96,14.5,15.1,7.5,0.49,0.024,199,29835,e3,act2,immortal3
13,KAY/O,0.93,14.6,15.6,8.2,0.44,0.013,202,15351,e3,act2,immortal3
14,Breach,0.91,14.0,15.4,5.6,0.5,0.012,191,14739,e3,act2,immortal3
15,Phoenix,0.99,15.6,15.8,3.9,0.4,0.011,223,12852,e3,act2,immortal3
16,Yoru,0.95,14.5,15.3,3.2,0.4,0.006,207,7191,e3,act2,immortal3
1,Jett,1.09,17.5,16.0,3.6,0.51,0.178,239,304419,e3,act2,immortal2
2,Reyna,1.1,17.4,15.9,3.9,0.51,0.145,239,247911,e3,act2,immortal2
3,Sage,0.95,14.2,15.0,7.0,0.5,0.121,191,206703,e3,act2,immortal2
4,Sova,0.97,14.3,14.8,6.5,0.5,0.1,200,171054,e3,act2,immortal2
5,Viper,0.97,14.4,14.8,5.4,0.51,0.07,195,118779,e3,act2,immortal2
