rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Vyse,1.13,16.2,14.4,5.6,0.544,0.005,220,371,e9,act3,radiant
2,Viper,1.16,17.0,14.7,5.3,0.544,0.01,230,834,e9,act3,radiant
3,Phoenix,1.13,17.2,15.2,4.9,0.543,0.012,241,957,e9,act3,radiant
4,Gekko,1.01,15.0,14.8,5.3,0.539,0.014,199,1142,e9,act3,radiant
5,Neon,1.04,17.5,16.8,4.8,0.537,0.081,238,6608,e9,act3,radiant
6,Clove,1.02,17.9,17.5,7.9,0.536,0.123,242,10032,e9,act3,radiant
7,Iso,1.15,18.3,15.9,4.2,0.529,0.059,248,4784,e9,act3,radiant
8,Brimstone,1.1,16.4,14.9,10.2,0.521,0.006,222,482,e9,act3,radiant
9,Fade,1.02,15.3,15.0,6.6,0.516,0.021,204,1696,e9,act3,radiant
10,Raze,1.1,17.7,16.1,4.2,0.514,0.054,245,4354,e9,act3,radiant
11,Breach,1.0,15.0,15.0,9.2,0.514,0.012,202,1007,e9,act3,radiant
12,Yoru,1.09,17.5,16.0,4.6,0.514,0.017,234,1385,e9,act3,radiant
13,Deadlock,1.09,16.2,14.9,4.5,0.512,0.02,212,1586,e9,act3,radiant
14,Sova,1.07,15.5,14.5,5.7,0.511,0.095,210,7731,e9,act3,radiant
15,Jett,1.13,18.0,15.9,3.1,0.511,0.133,241,10785,e9,act3,radiant
16,Reyna,1.13,17.9,15.8,4.4,0.506,0.063,240,5122,e9,act3,radiant
17,Cypher,1.09,15.9,14.6,4.5,0.505,0.109,209,8877,e9,act3,radiant
18,Sage,1.03,15.7,15.2,6.5,0.503,0.004,212,350,e9,act3,radiant
19,Killjoy,1.09,16.1,14.8,3.0,0.502,0.04,215,3235,e9,act3,radiant
20,Skye,1.01,15.1,14.9,7.7,0.494,0.033,202,2713,e9,act3,radiant
1,Sage,1.01,15.0,14.9,6.8,0.543,0.009,206,2475,e9,act3,immortal3
2,Neon,1.02,17.1,16.7,4.7,0.54,0.074,235,20416,e9,act3,immortal3
3,Iso,1.14,18.1,15.9,4.1,0.534,0.05,247,13917,e9,act3,immortal3
4,Gekko,0.99,14.5,14.7,5.0,0.528,0.017,194,4664,e9,act3,immortal3
5,Deadlock,1.08,15.9,14.8,4.6,0.526,0.018,210,5056,e9,act3,immortal3
6,Clove,0.98,17.3,17.5,8.0,0.525,0.127,234,35141,e9,act3,immortal3
7,Phoenix,1.1,17.2,15.6,5.0,0.521,0.017,237,4676,e9,act3,immortal3
8,Chamber,1.15,17.0,14.8,2.6,0.52,0.018,224,5082,e9,act3,immortal3
9,Cypher,1.05,15.3,14.5,4.6,0.515,0.108,202,29755,e9,act3,immortal3
10,Reyna,1.14,17.6,15.5,4.2,0.514,0.077,238,21305,e9,act3,immortal3
11,Breach,0.99,14.6,14.8,8.7,0.509,0.013,197,3592,e9,act3,immortal3
12,Jett,1.1,17.6,15.9,3.1,0.509,0.132,236,36407,e9,act3,immortal3
13,Vyse,1.07,15.6,14.5,5.4,0.507,0.006,210,1535,e9,act3,immortal3
14,Raze,1.06,17.1,16.0,4.2,0.505,0.046,238,12677,e9,act3,immortal3
15,Sova,1.03,14.9,14.4,5.8,0.504,0.098,204,26985,e9,act3,immortal3
16,Fade,0.98,14.6,14.9,6.7,0.503,0.023,197,6341,e9,act3,immortal3
17,Killjoy,1.06,15.6,14.7,3.0,0.502,0.037,209,10205,e9,act3,immortal3
18,Viper,1.1,16.3,14.8,5.2,0.496,0.005,223,1365,e9,act3,immortal3
