rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Sage,0.99,15.0,15.1,6.5,0.557,0.003,204,811,e9,act1,radiant
2,Phoenix,1.13,17.6,15.6,5.0,0.534,0.007,240,1944,e9,act1,radiant
3,Clove,1.01,17.8,17.7,7.7,0.533,0.113,240,31598,e9,act1,radiant
4,Iso,1.17,18.8,16.1,4.1,0.528,0.062,253,17180,e9,act1,radiant
5,Deadlock,1.1,16.4,14.9,4.6,0.525,0.021,213,5810,e9,act1,radiant
6,Neon,1.05,17.5,16.7,4.7,0.525,0.038,238,10612,e9,act1,radiant
7,Yoru,1.08,17.2,16.0,4.7,0.52,0.011,232,3160,e9,act1,radiant
8,Viper,1.09,16.2,14.8,4.9,0.519,0.024,215,6634,e9,act1,radiant
9,Killjoy,1.09,16.0,14.6,2.9,0.512,0.064,211,17738,e9,act1,radiant
10,Fade,1.04,15.4,14.8,7.4,0.511,0.016,206,4438,e9,act1,radiant
11,Jett,1.12,18.0,16.0,3.1,0.51,0.165,241,46170,e9,act1,radiant
12,Reyna,1.14,18.0,15.8,4.2,0.509,0.089,241,24932,e9,act1,radiant
13,Cypher,1.07,15.8,14.8,4.6,0.509,0.08,207,22400,e9,act1,radiant
14,Sova,1.05,15.3,14.6,5.7,0.504,0.106,208,29527,e9,act1,radiant
15,Raze,1.09,17.6,16.1,4.0,0.503,0.062,242,17326,e9,act1,radiant
16,Gekko,1.0,14.8,14.9,5.2,0.502,0.038,194,10582,e9,act1,radiant
17,Skye,0.98,14.7,14.9,7.5,0.492,0.015,197,4318,e9,act1,radiant
18,Chamber,1.16,17.4,15.0,2.5,0.491,0.012,228,3322,e9,act1,radiant
19,Brimstone,1.06,15.9,15.0,10.2,0.49,0.008,219,2319,e9,act1,radiant
20,Omen,1.03,15.6,15.1,8.1,0.469,0.047,208,13129,e9,act1,radiant
1,Phoenix,1.11,17.2,15.6,4.9,0.535,0.012,236,10903,e9,act1,immortal3
2,Iso,1.14,18.2,16.0,4.1,0.528,0.045,247,40717,e9,act1,immortal3
3,Clove,0.98,17.3,17.6,7.6,0.527,0.12,234,109322,e9,act1,immortal3
4,Sage,1.01,15.1,14.9,6.5,0.524,0.005,206,4728,e9,act1,immortal3
5,Neon,1.01,16.9,16.7,4.6,0.518,0.028,232,25272,e9,act1,immortal3
6,Deadlock,1.05,15.7,15.0,4.4,0.514,0.024,206,22149,e9,act1,immortal3
7,Reyna,1.11,17.5,15.7,4.2,0.51,0.095,236,87211,e9,act1,immortal3
8,Fade,1.0,14.7,14.8,7.2,0.507,0.015,198,13390,e9,act1,immortal3
9,Jett,1.09,17.5,16.0,3.1,0.506,0.155,236,142012,e9,act1,immortal3
10,Gekko,0.97,14.3,14.8,5.2,0.504,0.043,189,39516,e9,act1,immortal3
11,Chamber,1.15,17.1,14.9,2.6,0.504,0.018,224,16219,e9,act1,immortal3
12,Killjoy,1.05,15.4,14.6,2.9,0.502,0.061,204,56179,e9,act1,immortal3
13,Cypher,1.03,15.1,14.7,4.5,0.502,0.086,200,78302,e9,act1,immortal3
14,Sova,1.01,14.7,14.6,5.6,0.501,0.102,201,93127,e9,act1,immortal3
15,Raze,1.05,16.9,16.1,4.1,0.497,0.052,235,47522,e9,act1,immortal3
16,Skye,0.95,14.2,14.9,7.4,0.492,0.017,191,15465,e9,act1,immortal3
17,Viper,1.05,15.6,14.9,5.0,0.488,0.023,208,21442,e9,act1,immortal3
18,Breach,0.95,14.3,15.0,8.7,0.486,0.015,193,13615,e9,act1,immortal3
19,Brimstone,1.02,15.2,14.9,10.1,0.486,0.008,212,7117,e9,act1,immortal3
20,Yoru,1.03,16.3,15.9,4.4,0.486,0.014,221,12498,e9,act1,immortal3
1,Sage,1.01,15.0,14.8,6.7,0.529,0.007,203,9137,e9,act1,immortal2
2,Clove,0.98,17.3,17.6,7.5,0.524,0.118,234,149422,e9,act1,immortal2
3,Phoenix,1.11,17.2,15.5,4.8,0.523,0.013,236,16465,e9,act1,immortal2
4,Deadlock,1.05,15.6,14.9,4.4,0.52,0.021,206,26055,e9,act1,immortal2
5,Neon,1.01,16.8,16.6,4.6,0.518,0.027,232,33864,e9,act1,immortal2
6,Iso,1.13,18.1,16.0,4.0,0.517,0.041,247,51506,e9,act1,immortal2
7,Gekko,0.96,14.1,14.8,5.2,0.508,0.045,188,57494,e9,act1,immortal2
8,Killjoy,1.05,15.3,14.6,3.0,0.503,0.058,204,73331,e9,act1,immortal2
9,Reyna,1.11,17.5,15.7,4.2,0.502,0.099,236,125309,e9,act1,immortal2
