rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Sage,1.01,15.3,15.0,7.2,0.518,0.025,207,20268,e6,act3,radiant
2,Reyna,1.15,18.2,15.8,4.3,0.517,0.058,245,47319,e6,act3,radiant
3,Phoenix,1.12,17.7,15.8,5.0,0.511,0.016,241,13146,e6,act3,radiant
4,Brimstone,1.04,15.7,15.0,9.9,0.51,0.046,214,37647,e6,act3,radiant
5,Raze,1.08,17.5,16.3,4.7,0.506,0.093,247,76207,e6,act3,radiant
6,Astra,1.09,15.9,14.5,7.4,0.506,0.03,211,24690,e6,act3,radiant
7,Jett,1.11,18.0,16.2,3.5,0.505,0.183,243,148955,e6,act3,radiant
8,Fade,1.03,15.6,15.1,6.9,0.504,0.024,210,19321,e6,act3,radiant
9,Skye,0.99,15.1,15.2,8.3,0.504,0.079,203,64544,e6,act3,radiant
10,Gekko,1.01,15.2,15.1,5.0,0.503,0.017,201,14255,e6,act3,radiant
11,Killjoy,1.1,16.2,14.7,3.3,0.5,0.104,216,85164,e6,act3,radiant
12,Cypher,1.07,15.9,14.9,4.5,0.498,0.04,208,32706,e6,act3,radiant
13,Viper,1.09,16.4,15.0,6.0,0.497,0.03,223,24370,e6,act3,radiant
14,Sova,1.06,15.6,14.6,6.2,0.495,0.057,212,46298,e6,act3,radiant
15,Yoru,1.06,17.0,16.1,4.8,0.494,0.011,230,8946,e6,act3,radiant
16,Omen,1.02,15.5,15.1,9.2,0.492,0.082,208,67056,e6,act3,radiant
17,Neon,1.02,17.0,16.7,4.3,0.492,0.005,232,4405,e6,act3,radiant
18,Breach,0.97,14.8,15.3,8.4,0.489,0.036,199,28985,e6,act3,radiant
19,Chamber,1.12,17.2,15.3,2.4,0.477,0.035,224,28609,e6,act3,radiant
20,Harbor,0.97,14.8,15.3,6.6,0.474,0.01,198,8241,e6,act3,radiant
21,KAY/O,0.96,15.1,15.7,10.4,0.457,0.017,210,13996,e6,act3,radiant
1,Phoenix,1.11,17.4,15.7,4.9,0.523,0.023,238,86283,e6,act3,immortal3
2,Sage,0.99,14.9,15.1,7.2,0.516,0.034,203,128301,e6,act3,immortal3
3,Brimstone,1.0,15.0,15.0,9.9,0.509,0.055,208,210630,e6,act3,immortal3
4,Reyna,1.13,17.8,15.7,4.3,0.509,0.074,241,283069,e6,act3,immortal3
5,Killjoy,1.06,15.5,14.6,3.4,0.506,0.09,208,343762,e6,act3,immortal3
6,Raze,1.05,17.1,16.2,4.7,0.504,0.083,241,317508,e6,act3,immortal3
