rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Neon,1.02,17.2,16.9,4.0,0.667,0.007,229,84,e7,act2,radiant
2,Harbor,0.99,15.5,15.7,6.7,0.574,0.005,203,61,e7,act2,radiant
3,Breach,1.08,17.2,15.9,8.9,0.546,0.015,220,174,e7,act2,radiant
4,Cypher,1.09,16.4,15.1,4.4,0.541,0.06,210,702,e7,act2,radiant
5,Raze,1.11,18.2,16.4,4.5,0.535,0.091,254,1056,e7,act2,radiant
6,Sova,1.07,15.5,14.6,5.9,0.53,0.086,209,997,e7,act2,radiant
7,KAY/O,1.01,15.5,15.3,10.5,0.528,0.017,215,197,e7,act2,radiant
8,Phoenix,1.18,18.3,15.5,4.7,0.517,0.022,248,261,e7,act2,radiant
9,Deadlock,1.22,18.2,15.0,3.0,0.517,0.002,233,29,e7,act2,radiant
10,Viper,1.07,15.8,14.8,5.5,0.517,0.041,214,472,e7,act2,radiant
11,Reyna,1.16,18.1,15.6,4.2,0.511,0.092,244,1072,e7,act2,radiant
12,Jett,1.15,18.5,16.1,3.2,0.507,0.16,246,1860,e7,act2,radiant
13,Brimstone,1.01,15.0,14.9,9.6,0.505,0.024,204,275,e7,act2,radiant
14,Killjoy,1.09,16.0,14.7,3.2,0.498,0.072,214,839,e7,act2,radiant
15,Omen,1.05,15.7,15.0,8.2,0.498,0.101,207,1181,e7,act2,radiant
16,Astra,1.13,16.2,14.3,7.4,0.497,0.025,216,286,e7,act2,radiant
17,Fade,1.01,15.4,15.3,7.0,0.495,0.023,205,273,e7,act2,radiant
18,Chamber,1.15,17.6,15.3,2.4,0.494,0.051,227,595,e7,act2,radiant
19,Skye,0.97,14.8,15.2,7.9,0.486,0.078,197,909,e7,act2,radiant
20,Sage,0.97,14.3,14.7,6.6,0.48,0.008,197,98,e7,act2,radiant
21,Yoru,1.05,17.1,16.2,4.2,0.449,0.014,229,167,e7,act2,radiant
22,Gekko,0.97,14.1,14.5,4.8,0.429,0.005,192,56,e7,act2,radiant
1,Neon,1.0,16.5,16.5,3.8,0.526,0.006,226,390,e7,act2,immortal3
2,Sage,1.0,14.9,15.0,7.0,0.519,0.019,202,1192,e7,act2,immortal3
3,Raze,1.06,17.2,16.2,4.5,0.511,0.087,243,5372,e7,act2,immortal3
4,Cypher,1.02,15.1,14.8,4.4,0.511,0.062,200,3792,e7,act2,immortal3
5,Brimstone,0.97,14.5,14.9,9.6,0.509,0.031,202,1929,e7,act2,immortal3
6,Omen,0.99,14.9,15.0,8.2,0.507,0.102,200,6252,e7,act2,immortal3
7,Deadlock,1.07,16.0,15.0,3.4,0.505,0.003,212,192,e7,act2,immortal3
8,Breach,0.96,14.6,15.2,8.1,0.504,0.016,197,987,e7,act2,immortal3
9,Phoenix,1.09,17.4,16.0,4.5,0.501,0.021,235,1278,e7,act2,immortal3
10,Skye,0.96,14.5,15.1,7.7,0.5,0.079,195,4881,e7,act2,immortal3
11,Reyna,1.11,17.6,15.9,4.1,0.497,0.102,237,6295,e7,act2,immortal3
12,Viper,1.01,15.2,15.0,5.4,0.496,0.033,203,2031,e7,act2,immortal3
13,Jett,1.08,17.5,16.3,3.1,0.493,0.154,235,9461,e7,act2,immortal3
14,Fade,0.99,14.8,15.0,6.7,0.493,0.017,200,1046,e7,act2,immortal3
15,Sova,1.01,15.0,14.8,5.7,0.491,0.076,204,4681,e7,act2,immortal3
16,Killjoy,1.06,15.7,14.8,3.2,0.489,0.065,209,4031,e7,act2,immortal3
17,Astra,1.04,15.5,14.8,7.5,0.482,0.024,206,1460,e7,act2,immortal3
18,Harbor,0.92,14.0,15.2,5.8,0.477,0.004,191,243,e7,act2,immortal3
19,Chamber,1.1,16.7,15.2,2.3,0.473,0.058,219,3578,e7,act2,immortal3
20,Gekko,0.97,14.8,15.3,4.4,0.472,0.007,196,439,e7,act2,immortal3
21,Yoru,1.02,16.3,16.1,4.4,0.468,0.019,219,1185,e7,act2,immortal3
22,KAY/O,0.94,14.8,15.7,9.7,0.461,0.014,205,874,e7,act2,immortal3
