rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Deadlock,1.08,16.1,14.9,3.7,0.546,0.003,212,1332,e7,act1,radiant
2,Sage,1.02,15.3,15.1,7.1,0.532,0.016,207,6981,e7,act1,radiant
3,Phoenix,1.11,17.6,15.8,4.9,0.529,0.019,240,8483,e7,act1,radiant
4,Neon,1.03,17.1,16.7,4.2,0.513,0.005,234,2044,e7,act1,radiant
5,Gekko,1.0,15.1,15.1,4.9,0.511,0.008,199,3458,e7,act1,radiant
6,Skye,0.99,15.0,15.1,8.4,0.51,0.086,201,37888,e7,act1,radiant
7,Raze,1.09,17.6,16.2,4.5,0.51,0.1,247,43962,e7,act1,radiant
8,Reyna,1.14,17.9,15.8,4.2,0.508,0.065,242,28718,e7,act1,radiant
9,Brimstone,1.04,15.5,15.0,10.1,0.506,0.048,212,21372,e7,act1,radiant
10,Yoru,1.06,16.9,16.0,4.5,0.504,0.013,228,5633,e7,act1,radiant
11,Astra,1.08,15.6,14.5,7.4,0.504,0.036,208,15818,e7,act1,radiant
12,Omen,1.02,15.3,15.1,9.3,0.502,0.083,205,36476,e7,act1,radiant
13,Jett,1.11,18.0,16.2,3.3,0.502,0.189,241,83236,e7,act1,radiant
14,Killjoy,1.09,16.1,14.7,3.2,0.501,0.098,214,43102,e7,act1,radiant
15,Viper,1.08,16.3,15.0,5.9,0.5,0.02,220,9014,e7,act1,radiant
16,Sova,1.05,15.4,14.6,6.1,0.5,0.061,210,26992,e7,act1,radiant
17,Cypher,1.06,15.7,14.8,4.3,0.498,0.038,206,16762,e7,act1,radiant
18,Fade,1.02,15.4,15.1,6.7,0.494,0.019,208,8590,e7,act1,radiant
19,Chamber,1.14,17.3,15.3,2.4,0.49,0.043,225,18981,e7,act1,radiant
20,Breach,0.96,14.7,15.3,8.4,0.485,0.033,196,14767,e7,act1,radiant
21,Harbor,0.95,14.7,15.5,6.7,0.481,0.004,196,1572,e7,act1,radiant
22,KAY/O,0.96,15.0,15.7,10.3,0.46,0.013,209,5955,e7,act1,radiant
1,Sage,0.99,14.9,15.0,7.0,0.523,0.027,203,53069,e7,act1,immortal3
2,Phoenix,1.1,17.2,15.7,4.8,0.519,0.023,236,46257,e7,act1,immortal3
3,Brimstone,1.0,14.9,14.9,10.1,0.509,0.057,206,113320,e7,act1,immortal3
4,Deadlock,1.05,16.0,15.2,3.7,0.508,0.014,216,27654,e7,act1,immortal3
5,Reyna,1.12,17.6,15.8,4.2,0.508,0.078,238,154690,e7,act1,immortal3
6,Killjoy,1.06,15.5,14.6,3.2,0.506,0.084,207,167097,e7,act1,immortal3
7,Gekko,0.97,14.7,15.1,4.8,0.506,0.01,195,19580,e7,act1,immortal3
8,Raze,1.05,17.0,16.2,4.6,0.504,0.087,241,173114,e7,act1,immortal3
9,Jett,1.09,17.5,16.1,3.3,0.502,0.175,236,345713,e7,act1,immortal3
10,Sova,1.02,14.9,14.6,6.1,0.5,0.054,205,106972,e7,act1,immortal3
11,Viper,1.05,15.7,14.9,5.9,0.499,0.012,214,24505,e7,act1,immortal3
12,Skye,0.96,14.5,15.1,8.2,0.499,0.075,196,148847,e7,act1,immortal3
13,Astra,1.05,15.2,14.6,7.5,0.498,0.035,204,69137,e7,act1,immortal3
14,Cypher,1.02,15.1,14.8,4.4,0.495,0.049,200,96616,e7,act1,immortal3
15,Fade,0.98,14.9,15.1,6.7,0.495,0.018,201,34740,e7,act1,immortal3
16,Breach,0.94,14.3,15.2,8.3,0.493,0.038,193,74520,e7,act1,immortal3
17,Omen,0.99,14.9,15.1,9.3,0.493,0.088,202,174449,e7,act1,immortal3
18,Yoru,1.03,16.4,15.8,4.4,0.49,0.011,223,21563,e7,act1,immortal3
19,Neon,0.98,16.4,16.6,4.2,0.489,0.006,225,12824,e7,act1,immortal3
20,Chamber,1.1,16.7,15.2,2.4,0.488,0.042,219,83507,e7,act1,immortal3
21,KAY/O,0.94,14.7,15.6,10.1,0.458,0.012,205,24471,e7,act1,immortal3
22,Harbor,0.93,14.3,15.4,6.8,0.454,0.004,193,6957,e7,act1,immortal3
1,Sage,0.98,14.8,15.1,7.1,0.518,0.027,201,72619,e7,act1,immortal2
2,Phoenix,1.09,17.1,15.7,4.8,0.513,0.024,236,65256,e7,act1,immortal2
3,Brimstone,0.99,14.7,14.9,10.0,0.513,0.058,205,156952,e7,act1,immortal2
4,Killjoy,1.05,15.2,14.5,3.3,0.505,0.076,205,204980,e7,act1,immortal2
5,Raze,1.05,16.9,16.2,4.6,0.501,0.086,240,231055,e7,act1,immortal2
6,Sova,1.01,14.8,14.6,6.1,0.499,0.051,204,138226,e7,act1,immortal2
7,Reyna,1.11,17.5,15.8,4.2,0.499,0.084,237,225676,e7,act1,immortal2
8,Deadlock,1.03,15.6,15.1,3.7,0.498,0.023,224,62118,e7,act1,immortal2
9,Jett,1.08,17.4,16.1,3.4,0.497,0.167,235,448159,e7,act1,immortal2
10,Skye,0.96,14.4,15.1,8.2,0.496,0.078,196,208211,e7,act1,immortal2
11,Cypher,1.02,15.0,14.7,4.5,0.494,0.047,199,124917,e7,act1,immortal2
12,Astra,1.04,15.2,14.6,7.5,0.494,0.035,204,93207,e7,act1,immortal2
13,Gekko,0.95,14.4,15.1,4.8,0.493,0.011,193,29810,e7,act1,immortal2
14,Omen,0.98,14.8,15.1,9.2,0.492,0.085,201,228618,e7,act1,immortal2
15,Viper,1.04,15.4,14.9,6.0,0.492,0.013,212,34071,e7,act1,immortal2
16,Breach,0.93,14.2,15.3,8.1,0.49,0.037,193,98404,e7,act1,immortal2
17,Fade,0.97,14.7,15.1,6.7,0.488,0.018,200,48006,e7,act1,immortal2
18,Chamber,1.09,16.5,15.1,2.5,0.485,0.045,218,120454,e7,act1,immortal2
19,Yoru,1.02,16.2,15.9,4.4,0.48,0.011,221,30532,e7,act1,immortal2
20,Neon,0.98,16.3,16.6,4.1,0.471,0.006,224,16470,e7,act1,immortal2
21,KAY/O,0.93,14.6,15.7,10.0,0.455,0.013,205,33752,e7,act1,immortal2
22,Harbor,0.93,14.2,15.3,6.7,0.454,0.005,192,13324,e7,act1,immortal2
1,Sage,0.97,14.6,15.0,7.0,0.511,0.035,200,123314,e7,act1,immortal1
2,Phoenix,1.09,17.2,15.7,4.8,0.51,0.024,237,85152,e7,act1,immortal1
