rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Jett,1.1,17.8,16.1,3.5,0.51,0.2,243,3849,e2,act1,radiant
2,Reyna,1.1,17.5,15.9,4.4,0.51,0.178,243,3435,e2,act1,radiant
3,Raze,1.05,16.9,16.1,4.9,0.51,0.12,243,2314,e2,act1,radiant
4,Sova,1.02,14.7,14.5,6.8,0.47,0.088,210,1688,e2,act1,radiant
5,Sage,0.96,14.2,14.9,7.4,0.51,0.081,197,1569,e2,act1,radiant
6,Brimstone,0.98,14.6,14.9,5.8,0.53,0.074,204,1422,e2,act1,radiant
7,Omen,0.99,15.2,15.4,4.1,0.49,0.065,206,1252,e2,act1,radiant
8,Killjoy,1.04,15.0,14.5,3.5,0.47,0.065,209,1249,e2,act1,radiant
9,Phoenix,1.05,16.7,15.9,4.6,0.46,0.044,232,850,e2,act1,radiant
10,Cypher,0.99,14.6,14.8,4.6,0.48,0.039,199,745,e2,act1,radiant
11,Yoru,0.96,14.6,15.1,4.0,0.49,0.02,205,379,e2,act1,radiant
12,Breach,0.9,13.8,15.3,6.5,0.36,0.017,196,318,e2,act1,radiant
13,Skye,1.04,15.8,15.3,6.0,0.51,0.005,211,104,e2,act1,radiant
14,Viper,1.08,16.7,15.4,3.4,0.51,0.005,217,92,e2,act1,radiant
1,Jett,1.07,17.0,15.9,3.5,0.49,0.167,235,14778,e2,act1,immortal
2,Reyna,1.1,17.3,15.7,4.4,0.5,0.152,242,13425,e2,act1,immortal
3,Sage,0.96,14.2,14.7,7.2,0.52,0.104,198,9212,e2,act1,immortal
4,Raze,1.04,16.5,15.9,4.9,0.52,0.104,240,9181,e2,act1,immortal
5,Brimstone,0.94,14.1,15.0,5.6,0.51,0.087,200,7647,e2,act1,immortal
6,Omen,0.95,14.6,15.4,4.0,0.46,0.083,200,7290,e2,act1,immortal
7,Killjoy,0.98,14.2,14.5,3.8,0.51,0.08,200,7053,e2,act1,immortal
8,Sova,0.98,14.2,14.5,6.7,0.49,0.077,203,6758,e2,act1,immortal
9,Phoenix,1.04,16.5,15.8,4.5,0.5,0.049,230,4347,e2,act1,immortal
10,Cypher,0.96,14.1,14.7,4.7,0.47,0.049,194,4325,e2,act1,immortal
11,Breach,0.88,13.6,15.4,6.6,0.47,0.018,192,1581,e2,act1,immortal
12,Yoru,0.89,14.4,16.2,4.0,0.41,0.015,199,1294,e2,act1,immortal
13,Skye,0.94,14.5,15.4,5.1,0.49,0.008,197,699,e2,act1,immortal
14,Viper,0.96,13.9,14.4,3.4,0.52,0.008,196,687,e2,act1,immortal
1,Reyna,1.11,17.3,15.6,4.4,0.49,0.155,243,10430,e2,act1,diamond3
2,Jett,1.09,17.1,15.7,3.6,0.51,0.146,238,9861,e2,act1,diamond3
3,Sage,0.97,14.2,14.6,7.2,0.53,0.105,199,7104,e2,act1,diamond3
4,Raze,1.04,16.4,15.8,4.9,0.51,0.099,240,6673,e2,act1,diamond3
5,Brimstone,0.95,14.2,15.0,5.6,0.5,0.098,201,6623,e2,act1,diamond3
6,Omen,0.96,14.6,15.2,4.1,0.49,0.084,200,5639,e2,act1,diamond3
