rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Deadlock,1.11,16.6,15.0,4.3,0.53,0.012,217,3446,e8,act1,radiant
2,Fade,1.05,15.7,14.9,6.9,0.525,0.018,208,5362,e8,act1,radiant
3,Sage,1.0,15.1,15.2,6.9,0.521,0.008,204,2487,e8,act1,radiant
4,Neon,0.99,16.7,16.9,4.6,0.517,0.002,225,493,e8,act1,radiant
5,Phoenix,1.1,17.3,15.8,4.7,0.515,0.014,236,4171,e8,act1,radiant
6,Reyna,1.14,18.2,15.9,4.1,0.514,0.11,244,32271,e8,act1,radiant
7,Yoru,1.07,17.2,16.1,4.3,0.514,0.02,230,5783,e8,act1,radiant
8,Jett,1.12,18.2,16.2,3.1,0.511,0.169,244,49844,e8,act1,radiant
9,Astra,1.12,16.2,14.4,7.4,0.51,0.012,214,3450,e8,act1,radiant
10,Cypher,1.07,15.8,14.8,4.4,0.508,0.084,208,24614,e8,act1,radiant
11,Killjoy,1.1,16.2,14.7,2.9,0.507,0.052,213,15228,e8,act1,radiant
12,Viper,1.07,16.0,14.9,5.3,0.507,0.067,213,19666,e8,act1,radiant
13,Omen,1.03,15.5,15.0,8.3,0.505,0.087,206,25715,e8,act1,radiant
14,Raze,1.07,17.5,16.4,4.1,0.505,0.093,243,27478,e8,act1,radiant
15,Sova,1.05,15.4,14.7,5.6,0.504,0.087,209,25585,e8,act1,radiant
16,Chamber,1.15,17.5,15.1,2.6,0.502,0.04,228,11867,e8,act1,radiant
17,Brimstone,1.04,15.4,14.9,9.6,0.502,0.023,212,6773,e8,act1,radiant
18,Gekko,0.99,14.9,15.1,5.2,0.502,0.033,196,9632,e8,act1,radiant
19,Skye,1.0,15.0,15.0,7.8,0.501,0.043,201,12504,e8,act1,radiant
20,Iso,1.09,17.7,16.2,4.3,0.492,0.003,239,994,e8,act1,radiant
21,Breach,0.99,14.8,15.0,8.2,0.491,0.007,200,2185,e8,act1,radiant
22,KAY/O,0.96,15.0,15.7,10.0,0.457,0.015,208,4466,e8,act1,radiant
23,Harbor,0.95,15.2,16.1,6.0,0.443,0.001,201,176,e8,act1,radiant
1,Sage,1.0,15.1,15.0,6.8,0.534,0.016,204,15419,e8,act1,immortal3
2,Phoenix,1.11,17.4,15.6,4.6,0.532,0.015,238,14215,e8,act1,immortal3
3,Deadlock,1.06,16.0,15.0,4.2,0.521,0.01,210,9584,e8,act1,immortal3
4,Brimstone,1.0,14.9,14.9,9.7,0.512,0.027,206,25915,e8,act1,immortal3
