rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Jett,1.13,18.2,16.0,3.6,0.49,0.208,249,73032,e3,act1,radiant
2,Reyna,1.13,18.0,15.9,3.9,0.5,0.142,245,50133,e3,act1,radiant
3,Sova,1.01,14.9,14.7,6.7,0.5,0.109,206,38505,e3,act1,radiant
4,Sage,1.01,15.0,15.0,5.3,0.53,0.1,200,35292,e3,act1,radiant
5,Omen,1.0,14.9,14.9,6.3,0.49,0.073,200,25704,e3,act1,radiant
6,Raze,1.07,17.1,15.9,5.0,0.54,0.068,246,23868,e3,act1,radiant
7,Skye,1.02,15.7,15.4,4.6,0.47,0.063,211,22287,e3,act1,radiant
8,Viper,1.06,15.9,14.9,5.5,0.53,0.057,208,19890,e3,act1,radiant
9,Cypher,0.99,14.9,15.1,4.1,0.49,0.043,202,15249,e3,act1,radiant
10,Killjoy,1.06,15.0,14.1,3.8,0.52,0.043,210,14994,e3,act1,radiant
11,Astra,1.06,15.5,14.6,5.8,0.55,0.024,205,8517,e3,act1,radiant
12,Brimstone,0.98,14.9,15.2,7.2,0.48,0.024,205,8364,e3,act1,radiant
13,KAY/O,0.92,14.3,15.5,7.6,0.47,0.019,200,6834,e3,act1,radiant
14,Phoenix,1.03,16.9,16.4,3.6,0.39,0.013,233,4539,e3,act1,radiant
15,Yoru,0.89,14.5,16.2,3.6,0.47,0.009,207,3162,e3,act1,radiant
16,Breach,1.02,15.9,15.5,6.8,0.61,0.004,212,1581,e3,act1,radiant
1,Jett,1.09,17.4,16.0,3.6,0.5,0.178,239,709512,e3,act1,immortal
2,Reyna,1.1,17.4,15.8,3.9,0.51,0.138,239,551208,e3,act1,immortal
3,Sage,0.96,14.3,14.9,5.3,0.51,0.126,193,503268,e3,act1,immortal
4,Sova,0.99,14.5,14.7,6.6,0.52,0.09,203,359703,e3,act1,immortal
5,Omen,0.97,14.7,15.2,6.0,0.49,0.087,198,345525,e3,act1,immortal
6,Raze,1.02,16.5,16.1,5.0,0.5,0.065,238,259386,e3,act1,immortal
7,Skye,0.97,15.0,15.5,4.6,0.5,0.059,202,236334,e3,act1,immortal
8,Viper,1.0,14.7,14.7,5.4,0.51,0.057,200,226134,e3,act1,immortal
9,Killjoy,1.0,14.5,14.6,3.9,0.5,0.052,201,208590,e3,act1,immortal
10,Cypher,0.97,14.4,14.8,3.9,0.47,0.045,194,178704,e3,act1,immortal
11,Brimstone,0.98,14.6,14.9,7.4,0.52,0.032,201,125868,e3,act1,immortal
12,KAY/O,0.9,14.1,15.7,7.7,0.44,0.023,196,92973,e3,act1,immortal
13,Phoenix,1.02,16.1,15.9,3.9,0.48,0.019,225,74001,e3,act1,immortal
14,Astra,0.99,14.6,14.7,5.7,0.51,0.018,194,70278,e3,act1,immortal
15,Yoru,0.94,14.9,15.8,3.3,0.44,0.007,208,27132,e3,act1,immortal
16,Breach,0.93,14.5,15.6,5.8,0.48,0.006,197,24276,e3,act1,immortal
1,Jett,1.08,17.2,15.9,3.6,0.5,0.161,238,410397,e3,act1,diamond3
2,Reyna,1.09,17.1,15.8,4.0,0.5,0.136,237,346545,e3,act1,diamond3
3,Sage,0.96,14.1,14.7,5.1,0.52,0.135,192,344301,e3,act1,diamond3
4,Omen,0.96,14.6,15.2,6.0,0.49,0.092,196,233937,e3,act1,diamond3
5,Sova,0.97,14.1,14.6,6.4,0.51,0.087,199,222309,e3,act1,diamond3
6,Raze,1.02,16.2,15.9,4.9,0.5,0.063,236,160752,e3,act1,diamond3
7,Killjoy,0.99,14.3,14.4,3.8,0.52,0.055,199,139842,e3,act1,diamond3
8,Skye,0.95,14.6,15.4,4.6,0.49,0.054,198,136527,e3,act1,diamond3
9,Viper,0.98,14.3,14.5,5.4,0.5,0.053,197,134895,e3,act1,diamond3
10,Cypher,0.97,14.3,14.7,4.0,0.47,0.046,193,116025,e3,act1,diamond3
11,Brimstone,0.97,14.5,15.0,7.2,0.52,0.038,201,96849,e3,act1,diamond3
