Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep4-Act2,Iron 1,Sage,1,0.73,10.4,14.2,5.8,0.1,0.165,0.51,155,514692
Ep4-Act2,Iron 1,Reyna,2,0.94,13.9,14.7,4.0,0.2,0.113,0.49,206,351033
Ep4-Act2,Iron 1,Jett,3,0.91,13.4,14.7,3.7,0.2,0.087,0.5,199,269943
Ep4-Act2,Iron 1,Raze,4,0.84,12.6,14.9,4.6,0.1,0.074,0.49,194,230163
Ep4-Act2,Iron 1,Sova,5,0.77,11.1,14.4,4.9,0.1,0.061,0.5,168,190332
Ep4-Act2,Iron 1,Omen,6,0.82,12.1,14.8,4.0,0.1,0.057,0.49,176,176970
Ep4-Act2,Iron 1,Viper,7,0.77,11.1,14.5,4.5,0.1,0.054,0.5,166,167382
Ep4-Act2,Iron 1,Yoru,8,0.82,12.1,14.7,3.6,0.1,0.053,0.47,179,165954
Ep4-Act2,Iron 1,Killjoy,9,0.79,11.0,13.9,4.0,0.1,0.051,0.51,169,159069
Ep4-Act2,Iron 1,Neon,10,0.8,12.0,15.1,3.6,0.2,0.047,0.48,181,145299
Ep4-Act2,Iron 1,Chamber,11,0.86,12.2,14.3,3.7,0.1,0.045,0.48,180,139740
Ep4-Act2,Iron 1,Phoenix,12,0.83,12.1,14.6,3.7,0.1,0.041,0.47,182,127143
Ep4-Act2,Iron 1,Skye,13,0.74,10.7,14.5,5.8,0.1,0.038,0.49,161,117606
Ep4-Act2,Iron 1,Brimstone,14,0.81,11.7,14.4,5.5,0.1,0.037,0.51,176,116331
Ep4-Act2,Iron 1,KAY/O,15,0.75,11.2,14.9,6.4,0.1,0.03,0.5,170,92718
Ep4-Act2,Iron 1,Cypher,16,0.8,11.4,14.2,4.3,0.1,0.027,0.48,166,85323
Ep4-Act2,Iron 1,Breach,17,0.78,11.6,14.9,4.0,0.1,0.015,0.48,172,46665
Ep4-Act2,Iron 1,Astra,18,0.79,11.3,14.3,3.9,0.1,0.006,0.48,165,18717
Ep4-Act2,Iron 2,Sage,1,0.78,11.2,14.4,6.2,0.1,0.165,0.51,165,883524
Ep4-Act2,Iron 2,Reyna,2,0.99,14.9,15.0,4.2,0.2,0.115,0.5,217,616233
Ep4-Act2,Iron 2,Jett,3,0.96,14.3,14.9,3.9,0.2,0.084,0.5,211,448953
Ep4-Act2,Iron 2,Raze,4,0.88,13.3,15.1,4.7,0.1,0.071,0.49,203,379083
Ep4-Act2,Iron 2,Sova,5,0.82,11.9,14.5,5.1,0.1,0.064,0.5,178,344250
Ep4-Act2,Iron 2,Omen,6,0.86,12.8,14.9,4.3,0.1,0.059,0.5,186,316557
Ep4-Act2,Iron 2,Killjoy,7,0.83,11.6,14.0,4.1,0.1,0.055,0.52,175,294831
Ep4-Act2,Iron 2,Viper,8,0.8,11.7,14.5,4.8,0.1,0.053,0.49,173,282285
Ep4-Act2,Iron 2,Chamber,9,0.92,13.3,14.4,3.8,0.1,0.052,0.49,191,278052
Ep4-Act2,Iron 2,Yoru,10,0.86,12.8,14.9,3.6,0.1,0.046,0.48,187,246024
Ep4-Act2,Iron 2,Skye,11,0.8,11.7,14.7,6.1,0.1,0.044,0.5,173,236283
Ep4-Act2,Iron 2,Brimstone,12,0.84,12.3,14.7,5.9,0.1,0.042,0.52,183,224655
Ep4-Act2,Iron 2,Neon,13,0.86,13.3,15.4,3.8,0.2,0.038,0.48,197,204765
Ep4-Act2,Iron 2,Phoenix,14,0.87,13.0,14.9,3.8,0.2,0.031,0.49,193,168810
Ep4-Act2,Iron 2,KAY/O,15,0.76,11.5,15.1,6.7,0.1,0.031,0.46,174,164475
Ep4-Act2,Iron 2,Cypher,16,0.84,11.9,14.2,4.4,0.1,0.028,0.49,173,148818
Ep4-Act2,Iron 2,Breach,17,0.82,12.1,14.8,4.1,0.1,0.016,0.5,180,87108
Ep4-Act2,Iron 2,Astra,18,0.88,12.6,14.3,4.2,0.1,0.007,0.51,182,35496
Ep4-Act2,Iron 3,Sage,1,0.81,11.8,14.4,6.4,0.1,0.163,0.5,172,1569321
Ep4-Act2,Iron 3,Reyna,2,1.03,15.5,15.0,4.2,0.2,0.118,0.5,226,1137657
Ep4-Act2,Iron 3,Jett,3,1.01,15.2,15.0,4.0,0.2,0.088,0.5,221,844764
Ep4-Act2,Iron 3,Raze,4,0.93,14.0,15.1,4.8,0.1,0.067,0.51,212,641937
Ep4-Act2,Iron 3,Sova,5,0.85,12.3,14.6,5.3,0.1,0.064,0.49,184,616794
Ep4-Act2,Iron 3,Omen,6,0.88,13.2,15.0,4.5,0.1,0.061,0.5,191,582522
Ep4-Act2,Iron 3,Chamber,7,0.97,13.9,14.4,3.8,0.1,0.056,0.5,199,541161
Ep4-Act2,Iron 3,Killjoy,8,0.87,12.3,14.2,4.2,0.1,0.055,0.51,183,527238
Ep4-Act2,Iron 3,Viper,9,0.85,12.4,14.5,4.9,0.1,0.051,0.49,182,490620
Ep4-Act2,Iron 3,Skye,10,0.83,12.2,14.7,6.1,0.1,0.045,0.49,179,434367
Ep4-Act2,Iron 3,Brimstone,11,0.86,12.8,14.8,6.2,0.1,0.045,0.51,188,431664
Ep4-Act2,Iron 3,Yoru,12,0.89,13.5,15.1,3.8,0.1,0.04,0.48,195,389589
Ep4-Act2,Iron 3,Neon,13,0.9,13.9,15.4,3.9,0.2,0.036,0.48,205,347616
Ep4-Act2,Iron 3,KAY/O,14,0.8,12.1,15.2,6.9,0.1,0.031,0.47,181,295596
Ep4-Act2,Iron 3,Phoenix,15,0.91,13.7,15.0,3.9,0.1,0.029,0.47,202,281724
Ep4-Act2,Iron 3,Cypher,16,0.88,12.6,14.4,4.5,0.1,0.029,0.49,181,275757
Ep4-Act2,Iron 3,Breach,17,0.84,12.8,15.1,4.2,0.1,0.016,0.48,186,154275
Ep4-Act2,Iron 3,Astra,18,0.89,12.8,14.4,4.1,0.1,0.007,0.47,185,65178
Ep4-Act2,Bronze 1,Sage,1,0.85,12.2,14.5,6.5,0.1,0.155,0.51,178,2052087
Ep4-Act2,Bronze 1,Reyna,2,1.07,16.2,15.1,4.2,0.2,0.121,0.51,234,1600839
Ep4-Act2,Bronze 1,Jett,3,1.04,15.8,15.2,4.0,0.2,0.094,0.5,228,1237821
Ep4-Act2,Bronze 1,Raze,4,0.96,14.6,15.2,4.8,0.1,0.065,0.5,220,859299
Ep4-Act2,Bronze 1,Chamber,5,1.0,14.5,14.5,3.8,0.1,0.063,0.5,205,829821
Ep4-Act2,Bronze 1,Sova,6,0.88,12.8,14.5,5.4,0.1,0.063,0.5,189,827832
Ep4-Act2,Bronze 1,Omen,7,0.92,13.7,15.0,4.6,0.1,0.062,0.49,197,821304
