Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep2-Act1,Iron 1,Sage,1,0.8,10.6,13.2,5.1,0.1,0.146,0.52,163,7990
Ep2-Act1,Iron 1,Raze,2,0.92,12.5,13.6,4.5,0.1,0.14,0.53,198,7661
Ep2-Act1,Iron 1,Reyna,3,1.0,13.5,13.5,4.1,0.2,0.136,0.52,206,7429
Ep2-Act1,Iron 1,Jett,4,0.86,12.0,13.9,3.4,0.2,0.117,0.5,182,6366
Ep2-Act1,Iron 1,Phoenix,5,0.87,11.7,13.5,3.7,0.2,0.083,0.5,180,4512
Ep2-Act1,Iron 1,Yoru,6,0.82,11.4,13.8,3.4,0.1,0.068,0.51,172,3717
Ep2-Act1,Iron 1,Sova,7,0.8,10.7,13.4,4.6,0.1,0.064,0.52,167,3489
Ep2-Act1,Iron 1,Omen,8,0.83,11.6,13.9,3.4,0.1,0.063,0.51,174,3461
Ep2-Act1,Iron 1,Killjoy,9,0.82,10.7,12.9,3.8,0.1,0.043,0.52,169,2332
Ep2-Act1,Iron 1,Brimstone,10,0.8,10.9,13.6,4.2,0.1,0.037,0.49,168,2044
Ep2-Act1,Iron 1,Cypher,11,0.87,11.4,13.1,4.3,0.1,0.033,0.52,174,1786
Ep2-Act1,Iron 1,Viper,12,0.75,10.4,13.8,3.2,0.1,0.032,0.47,160,1770
Ep2-Act1,Iron 1,Skye,13,0.75,10.3,13.7,3.8,0.1,0.024,0.5,157,1333
Ep2-Act1,Iron 1,Breach,14,0.81,10.8,13.3,4.4,0.2,0.013,0.54,168,732
Ep2-Act1,Iron 2,Sage,1,0.85,11.7,13.7,5.7,0.1,0.153,0.53,176,21367
Ep2-Act1,Iron 2,Reyna,2,1.04,14.6,14.0,4.3,0.2,0.14,0.52,220,19600
Ep2-Act1,Iron 2,Raze,3,0.95,13.5,14.2,4.8,0.1,0.129,0.52,210,18015
Ep2-Act1,Iron 2,Jett,4,0.93,13.2,14.1,3.7,0.2,0.107,0.52,200,15020
Ep2-Act1,Iron 2,Phoenix,5,0.93,13.0,14.0,3.9,0.2,0.077,0.5,198,10778
Ep2-Act1,Iron 2,Sova,6,0.86,11.9,13.9,5.0,0.1,0.069,0.51,182,9649
Ep2-Act1,Iron 2,Omen,7,0.88,12.6,14.3,3.5,0.1,0.063,0.49,188,8837
Ep2-Act1,Iron 2,Yoru,8,0.87,12.3,14.2,3.7,0.1,0.062,0.5,185,8660
Ep2-Act1,Iron 2,Killjoy,9,0.9,12.0,13.4,4.0,0.1,0.052,0.52,185,7223
Ep2-Act1,Iron 2,Brimstone,10,0.88,12.2,13.9,4.6,0.1,0.04,0.5,185,5608
Ep2-Act1,Iron 2,Cypher,11,0.86,11.7,13.6,4.6,0.1,0.035,0.49,176,4910
Ep2-Act1,Iron 2,Viper,12,0.82,11.7,14.2,3.6,0.1,0.03,0.46,178,4150
Ep2-Act1,Iron 2,Skye,13,0.85,11.9,14.0,4.2,0.1,0.027,0.51,179,3736
Ep2-Act1,Iron 2,Breach,14,0.86,12.3,14.3,4.6,0.1,0.018,0.47,185,2494
Ep2-Act1,Iron 3,Sage,1,0.89,12.3,13.9,6.2,0.1,0.157,0.52,184,47093
Ep2-Act1,Iron 3,Reyna,2,1.1,15.6,14.2,4.5,0.2,0.14,0.52,233,41910
Ep2-Act1,Iron 3,Raze,3,0.99,14.4,14.5,4.9,0.1,0.124,0.52,221,37260
Ep2-Act1,Iron 3,Jett,4,0.99,14.2,14.4,3.9,0.2,0.105,0.51,213,31408
Ep2-Act1,Iron 3,Phoenix,5,0.97,13.9,14.4,4.1,0.2,0.073,0.5,210,21755
Ep2-Act1,Iron 3,Sova,6,0.9,12.6,14.0,5.2,0.1,0.071,0.49,192,21364
Ep2-Act1,Iron 3,Omen,7,0.93,13.4,14.4,3.8,0.1,0.067,0.51,198,19951
Ep2-Act1,Iron 3,Killjoy,8,0.94,12.8,13.6,4.3,0.1,0.059,0.52,195,17669
Ep2-Act1,Iron 3,Yoru,9,0.92,13.3,14.5,3.7,0.1,0.056,0.48,197,16870
Ep2-Act1,Iron 3,Brimstone,10,0.91,13.0,14.2,4.8,0.1,0.045,0.51,196,13420
Ep2-Act1,Iron 3,Cypher,11,0.92,12.7,13.8,4.8,0.1,0.035,0.51,187,10571
Ep2-Act1,Iron 3,Skye,12,0.87,12.4,14.3,4.3,0.1,0.026,0.5,185,7700
Ep2-Act1,Iron 3,Viper,13,0.89,12.7,14.3,3.7,0.1,0.025,0.49,189,7633
Ep2-Act1,Iron 3,Breach,14,0.9,13.1,14.6,4.8,0.1,0.016,0.47,195,4888
Ep2-Act1,Bronze 1,Sage,1,0.91,12.7,14.0,6.4,0.1,0.156,0.51,189,56689
Ep2-Act1,Bronze 1,Reyna,2,1.13,16.3,14.4,4.5,0.2,0.145,0.51,241,52766
Ep2-Act1,Bronze 1,Raze,3,1.01,14.8,14.7,4.9,0.1,0.118,0.52,226,42880
Ep2-Act1,Bronze 1,Jett,4,1.04,15.1,14.6,3.9,0.2,0.1,0.5,224,36246
Ep2-Act1,Bronze 1,Omen,5,0.97,14.0,14.5,3.8,0.1,0.072,0.52,205,26166
Ep2-Act1,Bronze 1,Sova,6,0.94,13.1,14.0,5.5,0.1,0.07,0.52,199,25579
Ep2-Act1,Bronze 1,Phoenix,7,1.02,14.7,14.4,4.3,0.2,0.066,0.51,219,24169
Ep2-Act1,Bronze 1,Killjoy,8,0.95,12.9,13.7,4.2,0.1,0.064,0.53,196,23319
Ep2-Act1,Bronze 1,Yoru,9,0.93,13.7,14.8,3.9,0.1,0.056,0.48,203,20488
Ep2-Act1,Bronze 1,Brimstone,10,0.94,13.5,14.4,5.0,0.1,0.051,0.5,202,18727
Ep2-Act1,Bronze 1,Cypher,11,0.94,13.1,13.9,4.8,0.1,0.037,0.51,193,13581
Ep2-Act1,Bronze 1,Skye,12,0.89,12.8,14.4,4.3,0.1,0.024,0.5,189,8679
Ep2-Act1,Bronze 1,Viper,13,0.91,12.9,14.3,3.6,0.1,0.023,0.49,193,8397
Ep2-Act1,Bronze 1,Breach,14,0.91,13.3,14.6,5.0,0.1,0.018,0.5,197,6501
Ep2-Act1,Bronze 2,Sage,1,0.92,12.9,14.0,6.6,0.1,0.149,0.52,191,75774
Ep2-Act1,Bronze 2,Reyna,2,1.15,16.8,14.5,4.5,0.2,0.147,0.52,247,74646
Ep2-Act1,Bronze 2,Raze,3,1.03,15.1,14.7,4.9,0.1,0.111,0.51,231,56174
Ep2-Act1,Bronze 2,Jett,4,1.06,15.6,14.7,3.9,0.2,0.099,0.51,230,50045
Ep2-Act1,Bronze 2,Omen,5,0.96,14.1,14.6,3.8,0.1,0.075,0.5,205,38025
Ep2-Act1,Bronze 2,Sova,6,0.94,13.4,14.2,5.6,0.1,0.073,0.49,201,36914
Ep2-Act1,Bronze 2,Killjoy,7,0.96,13.2,13.8,4.3,0.1,0.067,0.53,198,34197
Ep2-Act1,Bronze 2,Phoenix,8,1.03,15.0,14.5,4.2,0.2,0.065,0.51,223,33079
Ep2-Act1,Bronze 2,Brimstone,9,0.95,13.7,14.5,5.1,0.1,0.06,0.5,204,30285
Ep2-Act1,Bronze 2,Yoru,10,0.94,14.1,14.9,3.9,0.1,0.052,0.47,206,26577
Ep2-Act1,Bronze 2,Cypher,11,0.95,13.4,14.1,4.9,0.1,0.039,0.49,195,20003
Ep2-Act1,Bronze 2,Skye,12,0.9,13.0,14.4,4.3,0.1,0.023,0.5,191,11540
Ep2-Act1,Bronze 2,Viper,13,0.94,13.5,14.4,3.7,0.1,0.021,0.49,199,10493
Ep2-Act1,Bronze 2,Breach,14,0.9,13.5,15.0,5.1,0.1,0.019,0.47,200,9892
Ep2-Act1,Bronze 3,Sage,1,0.92,13.0,14.2,6.7,0.1,0.151,0.51,191,84294
Ep2-Act1,Bronze 3,Reyna,2,1.16,17.0,14.7,4.5,0.2,0.146,0.52,249,81371
Ep2-Act1,Bronze 3,Raze,3,1.02,15.3,15.0,5.0,0.1,0.105,0.51,232,58788
