Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep3-Act1,Iron 1,Sage,1,0.74,10.3,14.0,4.2,0.1,0.177,0.5,154,767958
Ep3-Act1,Iron 1,Reyna,2,0.96,13.7,14.3,4.0,0.2,0.114,0.5,208,497199
Ep3-Act1,Iron 1,Raze,3,0.86,12.4,14.5,4.7,0.1,0.1,0.51,196,436917
Ep3-Act1,Iron 1,Jett,4,0.9,13.1,14.5,3.7,0.2,0.098,0.49,198,426207
Ep3-Act1,Iron 1,Sova,5,0.76,10.8,14.1,4.7,0.1,0.071,0.48,166,309978
Ep3-Act1,Iron 1,Killjoy,6,0.82,11.2,13.7,4.1,0.1,0.064,0.52,174,277389
Ep3-Act1,Iron 1,Omen,7,0.82,11.8,14.4,3.9,0.1,0.061,0.49,176,265098
Ep3-Act1,Iron 1,Phoenix,8,0.81,11.7,14.4,3.6,0.1,0.059,0.46,179,254898
Ep3-Act1,Iron 1,Viper,9,0.75,10.7,14.3,4.4,0.1,0.057,0.49,161,248319
Ep3-Act1,Iron 1,Yoru,10,0.81,11.7,14.5,3.4,0.1,0.043,0.48,176,185946
Ep3-Act1,Iron 1,KAY/O,11,0.73,10.7,14.6,5.9,0.1,0.038,0.47,163,164883
Ep3-Act1,Iron 1,Brimstone,12,0.77,11.1,14.3,4.9,0.1,0.037,0.48,168,161619
Ep3-Act1,Iron 1,Skye,13,0.76,10.7,14.2,4.2,0.1,0.033,0.51,161,144228
Ep3-Act1,Iron 1,Cypher,14,0.79,11.1,14.1,4.1,0.1,0.029,0.49,163,125409
Ep3-Act1,Iron 1,Breach,15,0.79,11.6,14.6,4.5,0.1,0.013,0.51,174,57885
Ep3-Act1,Iron 1,Astra,16,0.81,11.2,13.8,3.9,0.1,0.006,0.5,166,25245
Ep3-Act1,Iron 2,Sage,1,0.8,11.2,14.1,4.5,0.1,0.178,0.51,165,1041981
Ep3-Act1,Iron 2,Reyna,2,1.03,15.0,14.5,4.2,0.2,0.12,0.51,222,704565
Ep3-Act1,Iron 2,Jett,3,0.97,14.2,14.7,3.9,0.2,0.094,0.5,212,550086
Ep3-Act1,Iron 2,Raze,4,0.92,13.4,14.7,4.8,0.1,0.094,0.5,209,550086
Ep3-Act1,Iron 2,Killjoy,5,0.88,11.9,13.6,4.3,0.1,0.07,0.53,184,409173
Ep3-Act1,Iron 2,Sova,6,0.83,11.8,14.2,5.1,0.1,0.069,0.5,179,405909
Ep3-Act1,Iron 2,Omen,7,0.87,12.7,14.6,4.2,0.1,0.064,0.51,186,377094
Ep3-Act1,Iron 2,Phoenix,8,0.9,13.1,14.6,3.9,0.2,0.055,0.49,197,322167
Ep3-Act1,Iron 2,Viper,9,0.81,11.6,14.2,4.7,0.1,0.054,0.5,173,316608
Ep3-Act1,Iron 2,KAY/O,10,0.8,11.7,14.7,6.3,0.1,0.04,0.48,177,232866
Ep3-Act1,Iron 2,Brimstone,11,0.83,12.1,14.5,5.3,0.1,0.039,0.5,179,227103
Ep3-Act1,Iron 2,Yoru,12,0.86,12.6,14.6,3.5,0.1,0.037,0.49,187,217974
Ep3-Act1,Iron 2,Skye,13,0.82,11.8,14.3,4.5,0.1,0.036,0.51,173,208233
Ep3-Act1,Iron 2,Cypher,14,0.85,11.8,13.9,4.3,0.1,0.03,0.5,173,175134
Ep3-Act1,Iron 2,Breach,15,0.82,12.1,14.8,4.6,0.1,0.014,0.51,180,80223
Ep3-Act1,Iron 2,Astra,16,0.88,12.4,14.1,4.0,0.1,0.006,0.47,182,36720
Ep3-Act1,Iron 3,Sage,1,0.83,11.7,14.2,4.7,0.1,0.177,0.51,171,2071467
Ep3-Act1,Iron 3,Reyna,2,1.05,15.3,14.7,4.3,0.2,0.123,0.51,227,1434375
Ep3-Act1,Iron 3,Jett,3,1.0,14.8,14.8,4.0,0.2,0.098,0.5,220,1147500
Ep3-Act1,Iron 3,Raze,4,0.93,13.8,14.9,4.9,0.1,0.087,0.51,213,1015053
Ep3-Act1,Iron 3,Sova,5,0.84,12.1,14.3,5.1,0.1,0.071,0.5,183,829923
Ep3-Act1,Iron 3,Killjoy,6,0.89,12.3,13.8,4.3,0.1,0.07,0.52,187,816102
Ep3-Act1,Iron 3,Omen,7,0.89,13.1,14.6,4.4,0.1,0.066,0.5,191,776016
Ep3-Act1,Iron 3,Phoenix,8,0.91,13.3,14.7,4.0,0.2,0.056,0.48,201,657849
Ep3-Act1,Iron 3,Viper,9,0.85,12.2,14.3,4.9,0.1,0.052,0.5,181,604605
Ep3-Act1,Iron 3,Brimstone,10,0.86,12.5,14.6,5.5,0.1,0.04,0.49,185,466803
Ep3-Act1,Iron 3,KAY/O,11,0.81,12.0,14.9,6.4,0.1,0.037,0.48,180,429675
Ep3-Act1,Iron 3,Skye,12,0.85,12.3,14.5,4.6,0.1,0.036,0.5,180,415599
Ep3-Act1,Iron 3,Yoru,13,0.88,13.1,14.9,3.6,0.1,0.034,0.46,194,402288
Ep3-Act1,Iron 3,Cypher,14,0.87,12.4,14.1,4.3,0.1,0.031,0.49,180,366690
Ep3-Act1,Iron 3,Breach,15,0.85,12.6,14.8,4.8,0.1,0.014,0.52,186,162435
Ep3-Act1,Iron 3,Astra,16,0.9,13.0,14.4,4.3,0.1,0.006,0.49,186,74256
Ep3-Act1,Bronze 1,Sage,1,0.87,12.3,14.2,4.8,0.1,0.174,0.52,178,2315502
Ep3-Act1,Bronze 1,Reyna,2,1.09,16.1,14.8,4.3,0.2,0.125,0.51,236,1669332
Ep3-Act1,Bronze 1,Jett,3,1.05,15.5,14.8,4.0,0.2,0.099,0.51,229,1313709
Ep3-Act1,Bronze 1,Raze,4,0.97,14.4,14.9,4.9,0.1,0.083,0.51,221,1103487
Ep3-Act1,Bronze 1,Killjoy,5,0.93,12.9,13.9,4.4,0.1,0.074,0.53,194,989706
Ep3-Act1,Bronze 1,Omen,6,0.92,13.7,14.8,4.5,0.1,0.07,0.5,197,934779
Ep3-Act1,Bronze 1,Sova,7,0.89,12.7,14.3,5.3,0.1,0.069,0.5,191,923508
Ep3-Act1,Bronze 1,Viper,8,0.9,12.9,14.3,5.0,0.1,0.051,0.5,189,684675
Ep3-Act1,Bronze 1,Phoenix,9,0.96,14.2,14.8,4.0,0.2,0.051,0.49,212,684114
Ep3-Act1,Bronze 1,Brimstone,10,0.89,13.0,14.6,5.7,0.1,0.043,0.5,193,571353
Ep3-Act1,Bronze 1,KAY/O,11,0.84,12.5,14.8,6.5,0.1,0.039,0.48,186,513723
Ep3-Act1,Bronze 1,Skye,12,0.88,12.9,14.6,4.7,0.1,0.037,0.51,187,487560
Ep3-Act1,Bronze 1,Cypher,13,0.92,13.0,14.1,4.4,0.1,0.032,0.51,186,421566
Ep3-Act1,Bronze 1,Yoru,14,0.91,13.7,15.0,3.6,0.1,0.03,0.46,202,401625
Ep3-Act1,Bronze 1,Breach,15,0.88,13.2,15.0,4.9,0.1,0.014,0.51,193,189108
Ep3-Act1,Bronze 1,Astra,16,0.92,13.1,14.2,4.4,0.1,0.008,0.5,190,100062
Ep3-Act1,Bronze 2,Sage,1,0.89,12.7,14.3,4.9,0.1,0.168,0.51,182,3272619
Ep3-Act1,Bronze 2,Reyna,2,1.12,16.6,14.8,4.3,0.2,0.13,0.51,242,2529345
Ep3-Act1,Bronze 2,Jett,3,1.08,16.1,14.9,4.0,0.2,0.107,0.51,236,2085033
Ep3-Act1,Bronze 2,Raze,4,0.98,14.8,15.0,5.0,0.1,0.08,0.5,226,1557336
Ep3-Act1,Bronze 2,Omen,5,0.94,14.0,14.8,4.6,0.1,0.072,0.5,201,1406478
Ep3-Act1,Bronze 2,Killjoy,6,0.95,13.2,13.9,4.3,0.1,0.072,0.52,198,1395411
Ep3-Act1,Bronze 2,Sova,7,0.92,13.2,14.4,5.4,0.1,0.07,0.5,196,1368840
Ep3-Act1,Bronze 2,Phoenix,8,0.98,14.6,14.8,4.1,0.2,0.052,0.48,217,1014237
Ep3-Act1,Bronze 2,Viper,9,0.93,13.4,14.3,5.1,0.1,0.049,0.5,194,947478
Ep3-Act1,Bronze 2,Brimstone,10,0.92,13.4,14.6,5.9,0.1,0.045,0.5,196,875976
Ep3-Act1,Bronze 2,KAY/O,11,0.86,13.0,15.0,6.7,0.1,0.037,0.47,192,717315
Ep3-Act1,Bronze 2,Skye,12,0.9,13.1,14.6,4.6,0.1,0.036,0.5,190,704769
Ep3-Act1,Bronze 2,Cypher,13,0.94,13.4,14.2,4.4,0.1,0.032,0.49,192,627351
Ep3-Act1,Bronze 2,Yoru,14,0.93,14.1,15.1,3.6,0.2,0.027,0.46,205,530094
Ep3-Act1,Bronze 2,Breach,15,0.9,13.5,15.1,5.0,0.1,0.015,0.49,197,296565
Ep3-Act1,Bronze 2,Astra,16,0.97,13.8,14.3,4.4,0.1,0.008,0.5,198,152286
Ep3-Act1,Bronze 3,Sage,1,0.92,13.1,14.3,4.9,0.1,0.161,0.51,188,3881559
Ep3-Act1,Bronze 3,Reyna,2,1.15,17.2,14.9,4.3,0.2,0.137,0.52,249,3283788
Ep3-Act1,Bronze 3,Jett,3,1.12,16.8,15.0,4.0,0.2,0.113,0.52,243,2724726
Ep3-Act1,Bronze 3,Raze,4,1.02,15.4,15.2,5.0,0.1,0.076,0.51,232,1837173
Ep3-Act1,Bronze 3,Omen,5,0.97,14.4,14.9,4.8,0.1,0.075,0.5,205,1804992
Ep3-Act1,Bronze 3,Killjoy,6,0.97,13.6,13.9,4.3,0.1,0.072,0.53,201,1737264
Ep3-Act1,Bronze 3,Sova,7,0.95,13.7,14.3,5.6,0.1,0.069,0.5,201,1654185
Ep3-Act1,Bronze 3,Viper,8,0.96,13.7,14.3,5.1,0.1,0.048,0.5,199,1166064
Ep3-Act1,Bronze 3,Phoenix,9,1.04,15.4,14.9,4.1,0.2,0.048,0.5,226,1158720
Ep3-Act1,Bronze 3,Brimstone,10,0.94,13.8,14.7,6.0,0.1,0.046,0.5,201,1104711
Ep3-Act1,Bronze 3,KAY/O,11,0.89,13.5,15.1,6.9,0.1,0.038,0.48,197,916878
Ep3-Act1,Bronze 3,Skye,12,0.93,13.7,14.6,4.6,0.1,0.036,0.5,196,861900
Ep3-Act1,Bronze 3,Cypher,13,0.96,13.6,14.2,4.4,0.1,0.032,0.5,194,761073
Ep3-Act1,Bronze 3,Yoru,14,0.96,14.5,15.1,3.6,0.1,0.024,0.46,211,576147
Ep3-Act1,Bronze 3,Breach,15,0.93,13.9,15.0,5.0,0.1,0.015,0.5,202,362100
Ep3-Act1,Bronze 3,Astra,16,1.0,14.3,14.4,4.5,0.1,0.009,0.51,203,211344
Ep3-Act1,Silver 1,Sage,1,0.92,13.3,14.4,4.9,0.1,0.157,0.51,188,5236578
Ep3-Act1,Silver 1,Reyna,2,1.16,17.5,15.1,4.3,0.2,0.138,0.51,251,4616775
Ep3-Act1,Silver 1,Jett,3,1.13,17.2,15.1,4.0,0.2,0.121,0.51,247,4025685
Ep3-Act1,Silver 1,Omen,4,0.96,14.4,15.0,4.9,0.1,0.077,0.5,204,2568258
Ep3-Act1,Silver 1,Raze,5,1.03,15.8,15.3,5.0,0.1,0.075,0.51,236,2490330
Ep3-Act1,Silver 1,Killjoy,6,0.97,13.7,14.0,4.2,0.1,0.07,0.52,201,2346357
Ep3-Act1,Silver 1,Sova,7,0.97,13.9,14.4,5.6,0.1,0.07,0.5,203,2332689
Ep3-Act1,Silver 1,Viper,8,0.97,13.9,14.3,5.2,0.1,0.048,0.51,199,1586202
Ep3-Act1,Silver 1,Brimstone,9,0.94,14.0,14.8,6.2,0.1,0.046,0.5,202,1536426
Ep3-Act1,Silver 1,Phoenix,10,1.05,15.7,15.0,4.1,0.2,0.046,0.5,229,1533723
Ep3-Act1,Silver 1,KAY/O,11,0.89,13.5,15.2,6.8,0.1,0.038,0.47,197,1282242
Ep3-Act1,Silver 1,Skye,12,0.94,13.9,14.8,4.7,0.1,0.036,0.5,198,1195542
Ep3-Act1,Silver 1,Cypher,13,0.96,13.8,14.4,4.3,0.1,0.033,0.49,195,1093695
Ep3-Act1,Silver 1,Yoru,14,0.97,14.8,15.2,3.6,0.2,0.021,0.45,214,707064
Ep3-Act1,Silver 1,Breach,15,0.93,14.1,15.2,5.0,0.1,0.016,0.48,202,518874
Ep3-Act1,Silver 1,Astra,16,0.99,14.4,14.5,4.6,0.1,0.01,0.48,203,322626
Ep3-Act1,Silver 2,Sage,1,0.94,13.6,14.5,5.0,0.1,0.149,0.51,191,4898703
Ep3-Act1,Silver 2,Reyna,2,1.18,17.8,15.1,4.3,0.2,0.142,0.52,255,4677873
Ep3-Act1,Silver 2,Jett,3,1.15,17.5,15.2,4.0,0.2,0.127,0.51,251,4177257
Ep3-Act1,Silver 2,Omen,4,0.98,14.7,15.0,5.0,0.1,0.079,0.5,206,2602479
Ep3-Act1,Silver 2,Raze,5,1.05,16.1,15.4,5.0,0.2,0.073,0.51,240,2404140
Ep3-Act1,Silver 2,Killjoy,6,0.99,13.9,14.1,4.2,0.1,0.07,0.52,204,2301477
Ep3-Act1,Silver 2,Sova,7,0.99,14.3,14.4,5.7,0.1,0.068,0.51,207,2250732
Ep3-Act1,Silver 2,Viper,8,0.98,14.1,14.4,5.2,0.1,0.048,0.5,201,1583346
Ep3-Act1,Silver 2,Brimstone,9,0.97,14.3,14.8,6.3,0.1,0.046,0.5,205,1500216
Ep3-Act1,Silver 2,Phoenix,10,1.07,16.2,15.1,4.1,0.2,0.042,0.5,235,1368687
Ep3-Act1,Silver 2,KAY/O,11,0.91,13.9,15.3,7.0,0.1,0.039,0.47,200,1294023
Ep3-Act1,Silver 2,Skye,12,0.97,14.3,14.8,4.7,0.1,0.038,0.5,202,1261995
Ep3-Act1,Silver 2,Cypher,13,0.98,14.1,14.4,4.3,0.1,0.033,0.49,198,1098285
Ep3-Act1,Silver 2,Yoru,14,1.0,15.3,15.3,3.6,0.2,0.019,0.46,218,620313
Ep3-Act1,Silver 2,Breach,15,0.95,14.4,15.2,5.1,0.1,0.015,0.5,205,492456
Ep3-Act1,Silver 2,Astra,16,1.0,14.6,14.5,4.7,0.1,0.011,0.5,204,345780
Ep3-Act1,Silver 3,Reyna,1,1.18,18.0,15.2,4.2,0.2,0.146,0.52,256,4301442
Ep3-Act1,Silver 3,Sage,2,0.95,13.8,14.5,5.1,0.1,0.144,0.52,193,4233357
Ep3-Act1,Silver 3,Jett,3,1.17,17.8,15.3,3.9,0.2,0.134,0.51,253,3952143
Ep3-Act1,Silver 3,Omen,4,0.99,14.9,15.0,5.1,0.1,0.08,0.5,208,2361300
Ep3-Act1,Silver 3,Raze,5,1.06,16.4,15.5,5.0,0.2,0.072,0.51,242,2114256
Ep3-Act1,Silver 3,Killjoy,6,1.0,14.1,14.1,4.1,0.1,0.068,0.52,205,2013684
Ep3-Act1,Silver 3,Sova,7,1.0,14.5,14.4,5.8,0.1,0.068,0.5,209,1999302
Ep3-Act1,Silver 3,Viper,8,1.0,14.4,14.4,5.2,0.1,0.049,0.51,203,1432539
Ep3-Act1,Silver 3,Brimstone,9,0.98,14.5,14.8,6.4,0.1,0.044,0.51,207,1302948
Ep3-Act1,Silver 3,Skye,10,0.98,14.5,14.9,4.7,0.1,0.04,0.5,204,1177845
Ep3-Act1,Silver 3,Phoenix,11,1.08,16.5,15.2,4.1,0.2,0.039,0.5,237,1162698
Ep3-Act1,Silver 3,KAY/O,12,0.91,14.0,15.3,7.0,0.1,0.039,0.46,201,1148775
Ep3-Act1,Silver 3,Cypher,13,0.99,14.2,14.4,4.3,0.1,0.034,0.5,199,989859
Ep3-Act1,Silver 3,Yoru,14,1.0,15.3,15.4,3.5,0.2,0.017,0.45,219,510051
Ep3-Act1,Silver 3,Breach,15,0.95,14.5,15.2,5.1,0.1,0.015,0.5,206,431766
Ep3-Act1,Silver 3,Astra,16,1.01,14.7,14.5,4.8,0.1,0.011,0.49,204,334305
Ep3-Act1,Gold 1,Sage,1,0.93,13.6,14.6,5.1,0.1,0.144,0.51,189,3372528
Ep3-Act1,Gold 1,Reyna,2,1.14,17.5,15.4,4.2,0.2,0.142,0.51,247,3319743
Ep3-Act1,Gold 1,Jett,3,1.12,17.4,15.5,3.9,0.2,0.136,0.51,246,3179238
Ep3-Act1,Gold 1,Omen,4,0.96,14.5,15.1,5.2,0.1,0.082,0.49,203,1918467
Ep3-Act1,Gold 1,Raze,5,1.03,16.1,15.6,4.9,0.2,0.069,0.5,237,1620423
Ep3-Act1,Gold 1,Sova,6,0.98,14.3,14.5,5.9,0.1,0.069,0.51,205,1619403
Ep3-Act1,Gold 1,Killjoy,7,0.98,13.9,14.2,4.1,0.1,0.068,0.51,200,1592832
