Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep3-Act2,Iron 1,Sage,1,0.7,9.7,13.8,5.4,0.1,0.169,0.49,146,316302
Ep3-Act2,Iron 1,Reyna,2,0.96,13.5,14.0,3.9,0.2,0.12,0.51,205,224451
Ep3-Act2,Iron 1,Jett,3,0.93,13.0,14.0,3.5,0.2,0.103,0.5,198,193647
Ep3-Act2,Iron 1,Raze,4,0.84,12.0,14.2,4.4,0.1,0.097,0.5,189,181713
Ep3-Act2,Iron 1,Sova,5,0.77,10.6,13.8,4.4,0.1,0.073,0.5,163,136629
Ep3-Act2,Iron 1,Phoenix,6,0.84,11.7,14.0,3.5,0.1,0.065,0.49,179,122247
Ep3-Act2,Iron 1,Viper,7,0.74,10.4,14.1,4.3,0.1,0.059,0.5,157,110517
Ep3-Act2,Iron 1,Killjoy,8,0.77,10.3,13.5,3.9,0.1,0.059,0.52,162,110313
Ep3-Act2,Iron 1,Omen,9,0.8,11.4,14.2,3.7,0.1,0.056,0.5,170,105927
Ep3-Act2,Iron 1,Yoru,10,0.79,11.4,14.5,3.4,0.1,0.046,0.48,172,86292
Ep3-Act2,Iron 1,Skye,11,0.73,10.3,14.1,5.5,0.1,0.039,0.52,157,72726
Ep3-Act2,Iron 1,Brimstone,12,0.76,10.8,14.1,4.7,0.1,0.033,0.5,163,61251
Ep3-Act2,Iron 1,KAY/O,13,0.69,10.0,14.5,6.0,0.1,0.032,0.47,153,60741
Ep3-Act2,Iron 1,Cypher,14,0.8,10.9,13.7,4.0,0.1,0.029,0.46,162,54315
Ep3-Act2,Iron 1,Breach,15,0.76,11.0,14.5,4.3,0.1,0.014,0.48,166,27183
Ep3-Act2,Iron 1,Astra,16,0.8,10.8,13.6,3.9,0.1,0.007,0.42,164,12240
Ep3-Act2,Iron 2,Sage,1,0.77,10.8,14.1,5.9,0.1,0.176,0.51,159,635766
Ep3-Act2,Iron 2,Reyna,2,1.0,14.5,14.5,4.1,0.2,0.124,0.5,216,445230
Ep3-Act2,Iron 2,Jett,3,0.95,13.7,14.5,3.8,0.2,0.094,0.5,205,338283
Ep3-Act2,Iron 2,Raze,4,0.89,13.0,14.6,4.7,0.1,0.09,0.51,201,323850
Ep3-Act2,Iron 2,Sova,5,0.79,11.3,14.3,4.9,0.1,0.073,0.49,171,263262
Ep3-Act2,Iron 2,Killjoy,6,0.84,11.5,13.7,4.2,0.1,0.066,0.54,177,237405
Ep3-Act2,Iron 2,Omen,7,0.85,12.3,14.6,4.1,0.1,0.061,0.48,181,218892
Ep3-Act2,Iron 2,Phoenix,8,0.86,12.4,14.4,3.8,0.1,0.056,0.48,188,203439
Ep3-Act2,Iron 2,Viper,9,0.79,11.3,14.3,4.6,0.1,0.056,0.5,170,201144
Ep3-Act2,Iron 2,Skye,10,0.78,11.2,14.3,5.8,0.1,0.044,0.5,167,159528
Ep3-Act2,Iron 2,Yoru,11,0.83,12.2,14.6,3.4,0.1,0.041,0.46,181,146217
Ep3-Act2,Iron 2,Brimstone,12,0.8,11.5,14.4,5.1,0.1,0.036,0.5,173,130968
Ep3-Act2,Iron 2,KAY/O,13,0.75,10.9,14.6,6.3,0.1,0.031,0.48,166,109905
Ep3-Act2,Iron 2,Cypher,14,0.83,11.6,14.1,4.2,0.1,0.03,0.49,169,108885
Ep3-Act2,Iron 2,Breach,15,0.79,11.7,14.8,4.6,0.1,0.015,0.48,174,53142
Ep3-Act2,Iron 2,Astra,16,0.88,12.2,13.9,4.0,0.1,0.007,0.55,177,26775
Ep3-Act2,Iron 3,Sage,1,0.8,11.3,14.2,6.2,0.1,0.174,0.5,165,1308711
Ep3-Act2,Iron 3,Reyna,2,1.02,15.0,14.7,4.2,0.2,0.126,0.5,222,948702
Ep3-Act2,Iron 3,Jett,3,0.98,14.4,14.7,3.9,0.2,0.099,0.49,214,747048
Ep3-Act2,Iron 3,Raze,4,0.91,13.5,14.8,4.7,0.1,0.084,0.5,207,630105
Ep3-Act2,Iron 3,Sova,5,0.82,11.8,14.4,5.1,0.1,0.073,0.5,178,551514
Ep3-Act2,Iron 3,Killjoy,6,0.87,12.0,13.9,4.2,0.1,0.065,0.52,183,492405
