Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep5-Act1,Iron 1,Sage,1,0.72,9.6,13.3,4.9,0.1,0.145,0.5,150,48399
Ep5-Act1,Iron 1,Reyna,2,0.98,13.4,13.6,3.5,0.2,0.103,0.52,208,34425
Ep5-Act1,Iron 1,Raze,3,0.87,12.2,14.0,4.2,0.1,0.086,0.5,191,28458
Ep5-Act1,Iron 1,Jett,4,0.94,12.0,12.8,3.1,0.2,0.071,0.48,193,23460
Ep5-Act1,Iron 1,Fade,5,0.68,9.5,14.1,5.2,0.1,0.059,0.51,149,19584
Ep5-Act1,Iron 1,Yoru,6,0.8,11.0,13.8,3.2,0.1,0.054,0.47,168,17952
Ep5-Act1,Iron 1,Neon,7,0.83,11.3,13.6,3.2,0.1,0.053,0.46,180,17697
Ep5-Act1,Iron 1,Sova,8,0.77,10.2,13.3,4.4,0.1,0.053,0.52,163,17493
Ep5-Act1,Iron 1,Viper,9,0.76,10.3,13.5,4.2,0.1,0.052,0.55,158,17289
Ep5-Act1,Iron 1,Omen,10,0.82,11.3,13.7,3.5,0.1,0.051,0.54,169,16881
Ep5-Act1,Iron 1,Chamber,11,0.98,12.5,12.8,3.2,0.1,0.045,0.54,189,15045
Ep5-Act1,Iron 1,Phoenix,12,0.89,11.5,12.9,3.3,0.1,0.044,0.47,183,14739
Ep5-Act1,Iron 1,Killjoy,13,0.71,9.5,13.4,3.6,0.1,0.037,0.48,153,12444
Ep5-Act1,Iron 1,Skye,14,0.72,9.5,13.2,4.7,0.1,0.037,0.54,150,12291
Ep5-Act1,Iron 1,Brimstone,15,0.83,11.2,13.6,4.6,0.1,0.036,0.55,172,11985
Ep5-Act1,Iron 1,KAY/O,16,0.74,10.6,14.3,6.1,0.1,0.028,0.46,166,9333
Ep5-Act1,Iron 1,Cypher,17,0.73,9.3,12.7,3.5,0.1,0.023,0.46,153,7548
Ep5-Act1,Iron 1,Breach,18,0.92,11.5,12.6,3.6,0.2,0.016,0.5,187,5457
Ep5-Act1,Iron 1,Astra,19,0.85,10.6,12.5,3.3,0.1,0.007,0.55,169,2244
Ep5-Act1,Iron 2,Sage,1,0.75,10.5,14.1,5.6,0.1,0.153,0.52,157,248115
Ep5-Act1,Iron 2,Reyna,2,0.97,14.1,14.5,4.0,0.2,0.108,0.51,210,175746
Ep5-Act1,Iron 2,Raze,3,0.87,12.6,14.5,4.5,0.1,0.073,0.49,197,118116
Ep5-Act1,Iron 2,Jett,4,0.92,13.2,14.4,3.5,0.2,0.062,0.52,199,99807
Ep5-Act1,Iron 2,Omen,5,0.84,12.1,14.4,4.1,0.1,0.06,0.51,180,97359
Ep5-Act1,Iron 2,Fade,6,0.75,11.0,14.6,5.8,0.1,0.056,0.48,166,90729
Ep5-Act1,Iron 2,Chamber,7,0.92,12.6,13.7,3.5,0.1,0.054,0.5,187,88230
Ep5-Act1,Iron 2,Yoru,8,0.81,11.9,14.6,3.5,0.1,0.054,0.48,177,87465
Ep5-Act1,Iron 2,Viper,9,0.77,10.9,14.2,4.6,0.1,0.053,0.51,166,86088
Ep5-Act1,Iron 2,Neon,10,0.84,12.5,14.9,3.7,0.2,0.049,0.47,189,79866
Ep5-Act1,Iron 2,Sova,11,0.77,11.0,14.3,4.7,0.1,0.047,0.48,167,75684
Ep5-Act1,Iron 2,Killjoy,12,0.82,11.2,13.7,4.1,0.1,0.045,0.54,172,72726
Ep5-Act1,Iron 2,Skye,13,0.79,11.2,14.2,5.7,0.1,0.039,0.5,170,62985
Ep5-Act1,Iron 2,Phoenix,14,0.89,12.6,14.1,3.7,0.1,0.038,0.51,192,61659
Ep5-Act1,Iron 2,Brimstone,15,0.82,11.6,14.0,5.1,0.1,0.035,0.51,177,55998
Ep5-Act1,Iron 2,KAY/O,16,0.73,11.0,15.0,6.4,0.1,0.034,0.48,167,54723
Ep5-Act1,Iron 2,Cypher,17,0.79,11.1,14.0,4.3,0.1,0.022,0.48,166,35037
Ep5-Act1,Iron 2,Breach,18,0.8,11.2,14.0,4.4,0.1,0.014,0.49,173,23256
Ep5-Act1,Iron 2,Astra,19,0.8,10.5,13.1,3.8,0.1,0.005,0.48,164,8364
Ep5-Act1,Iron 3,Sage,1,0.78,11.2,14.3,6.0,0.1,0.154,0.51,166,987360
