Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep4-Act3,Iron 1,Sage,1,0.73,10.3,14.1,5.7,0.1,0.158,0.51,155,423147
Ep4-Act3,Iron 1,Reyna,2,0.97,14.1,14.6,4.0,0.2,0.116,0.5,211,312273
Ep4-Act3,Iron 1,Raze,3,0.85,12.4,14.6,4.5,0.1,0.076,0.49,193,202878
Ep4-Act3,Iron 1,Omen,4,0.82,11.9,14.6,4.0,0.1,0.062,0.49,176,167076
Ep4-Act3,Iron 1,Fade,5,0.78,11.1,14.3,6.1,0.1,0.056,0.51,169,149226
Ep4-Act3,Iron 1,Jett,6,0.88,12.9,14.6,3.6,0.2,0.055,0.49,195,148869
Ep4-Act3,Iron 1,Sova,7,0.76,10.9,14.4,4.7,0.1,0.052,0.5,165,138618
Ep4-Act3,Iron 1,Viper,8,0.77,11.0,14.2,4.5,0.1,0.051,0.49,165,136476
Ep4-Act3,Iron 1,Chamber,9,0.89,12.5,14.0,3.6,0.1,0.05,0.52,183,135048
Ep4-Act3,Iron 1,Yoru,10,0.82,12.1,14.7,3.5,0.1,0.05,0.48,178,134028
Ep4-Act3,Iron 1,Killjoy,11,0.8,11.1,13.8,4.1,0.1,0.047,0.53,170,125358
Ep4-Act3,Iron 1,Neon,12,0.79,12.0,15.2,3.8,0.2,0.047,0.48,181,125052
Ep4-Act3,Iron 1,Skye,13,0.75,10.8,14.4,5.8,0.1,0.036,0.52,163,97155
Ep4-Act3,Iron 1,Brimstone,14,0.81,11.5,14.3,5.0,0.1,0.035,0.51,174,94248
Ep4-Act3,Iron 1,Phoenix,15,0.82,12.0,14.6,3.7,0.1,0.035,0.48,182,92667
Ep4-Act3,Iron 1,KAY/O,16,0.73,10.6,14.6,6.2,0.1,0.033,0.48,166,89709
Ep4-Act3,Iron 1,Cypher,17,0.79,11.2,14.1,4.1,0.1,0.024,0.47,165,63495
Ep4-Act3,Iron 1,Breach,18,0.79,11.7,14.7,4.5,0.1,0.013,0.48,174,36159
Ep4-Act3,Iron 1,Astra,19,0.8,11.1,13.9,4.0,0.1,0.005,0.47,166,13872
Ep4-Act3,Iron 2,Sage,1,0.77,11.1,14.3,6.0,0.1,0.159,0.5,163,775353
Ep4-Act3,Iron 2,Reyna,2,1.0,14.9,14.8,4.2,0.2,0.115,0.5,219,564417
Ep4-Act3,Iron 2,Raze,3,0.9,13.4,14.9,4.7,0.1,0.074,0.51,206,361692
Ep4-Act3,Iron 2,Omen,4,0.85,12.6,14.8,4.3,0.1,0.067,0.49,183,325788
Ep4-Act3,Iron 2,Chamber,5,0.93,13.3,14.3,3.6,0.1,0.057,0.5,192,280398
Ep4-Act3,Iron 2,Fade,6,0.79,11.7,14.7,6.3,0.1,0.057,0.5,174,278970
Ep4-Act3,Iron 2,Jett,7,0.92,13.7,14.9,3.7,0.2,0.052,0.5,204,253011
Ep4-Act3,Iron 2,Viper,8,0.8,11.7,14.5,4.8,0.1,0.051,0.49,173,251073
Ep4-Act3,Iron 2,Killjoy,9,0.83,11.6,13.9,4.1,0.1,0.05,0.53,175,242199
Ep4-Act3,Iron 2,Sova,10,0.81,11.8,14.6,4.9,0.1,0.048,0.48,177,236334
Ep4-Act3,Iron 2,Yoru,11,0.85,12.8,15.0,3.6,0.1,0.044,0.47,186,213894
Ep4-Act3,Iron 2,Skye,12,0.77,11.3,14.6,6.1,0.1,0.04,0.49,170,197064
Ep4-Act3,Iron 2,Neon,13,0.87,13.2,15.2,3.9,0.2,0.04,0.48,196,195993
Ep4-Act3,Iron 2,Brimstone,14,0.83,12.1,14.5,5.4,0.1,0.039,0.5,180,191709
Ep4-Act3,Iron 2,KAY/O,15,0.77,11.5,14.9,6.7,0.1,0.034,0.48,175,163863
Ep4-Act3,Iron 2,Phoenix,16,0.87,13.0,14.9,3.8,0.2,0.029,0.46,194,140658
Ep4-Act3,Iron 2,Cypher,17,0.86,12.2,14.2,4.4,0.1,0.023,0.49,176,114240
Ep4-Act3,Iron 2,Breach,18,0.82,12.2,14.9,4.6,0.1,0.015,0.47,180,72930
Ep4-Act3,Iron 2,Astra,19,0.9,12.7,14.0,4.2,0.1,0.006,0.51,185,28407
Ep4-Act3,Iron 3,Sage,1,0.81,11.7,14.4,6.3,0.1,0.153,0.51,172,1365525
Ep4-Act3,Iron 3,Reyna,2,1.04,15.5,15.0,4.2,0.2,0.119,0.5,227,1064268
Ep4-Act3,Iron 3,Raze,3,0.93,14.1,15.1,4.8,0.1,0.071,0.5,213,628269
