Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep2-Act2,Iron 1,Sage,1,0.75,10.4,13.9,5.5,0.1,0.167,0.51,157,399177
Ep2-Act2,Iron 1,Raze,2,0.89,12.5,14.1,4.5,0.1,0.128,0.52,197,307224
Ep2-Act2,Iron 1,Reyna,3,0.94,13.3,14.2,4.1,0.2,0.121,0.52,199,290394
Ep2-Act2,Iron 1,Jett,4,0.86,12.3,14.2,3.5,0.2,0.111,0.51,185,265200
Ep2-Act2,Iron 1,Sova,5,0.76,10.7,14.0,4.8,0.1,0.073,0.49,164,176052
Ep2-Act2,Iron 1,Phoenix,6,0.83,11.7,14.2,3.7,0.1,0.072,0.5,179,172380
Ep2-Act2,Iron 1,Omen,7,0.82,11.5,14.0,3.4,0.1,0.068,0.53,171,162129
Ep2-Act2,Iron 1,Killjoy,8,0.78,10.6,13.6,3.9,0.1,0.054,0.54,163,129387
Ep2-Act2,Iron 1,Yoru,9,0.79,11.5,14.5,3.6,0.1,0.043,0.46,172,103785
Ep2-Act2,Iron 1,Brimstone,10,0.78,10.9,14.0,4.3,0.1,0.039,0.52,166,94554
Ep2-Act2,Iron 1,Viper,11,0.73,10.3,14.1,3.7,0.1,0.039,0.49,157,93024
Ep2-Act2,Iron 1,Cypher,12,0.78,10.6,13.6,4.3,0.1,0.032,0.49,160,75939
Ep2-Act2,Iron 1,Skye,13,0.74,10.2,13.8,3.8,0.1,0.024,0.52,156,58701
Ep2-Act2,Iron 1,Breach,14,0.79,11.0,13.9,4.5,0.1,0.018,0.53,168,42738
Ep2-Act2,Iron 1,Astra,15,0.85,11.6,13.7,3.5,0.1,0.011,0.5,173,26367
Ep2-Act2,Iron 2,Sage,1,0.81,11.3,14.0,6.1,0.1,0.175,0.52,169,953292
Ep2-Act2,Iron 2,Reyna,2,1.0,14.4,14.4,4.4,0.2,0.121,0.52,216,657084
Ep2-Act2,Iron 2,Raze,3,0.92,13.4,14.6,4.8,0.1,0.118,0.52,208,644946
Ep2-Act2,Iron 2,Jett,4,0.93,13.5,14.5,3.7,0.2,0.103,0.5,203,561918
Ep2-Act2,Iron 2,Sova,5,0.81,11.5,14.2,5.1,0.1,0.077,0.49,176,417945
Ep2-Act2,Iron 2,Omen,6,0.86,12.4,14.5,3.6,0.1,0.07,0.51,184,383367
Ep2-Act2,Iron 2,Phoenix,7,0.89,12.8,14.4,4.0,0.1,0.068,0.49,194,371535
Ep2-Act2,Iron 2,Killjoy,8,0.85,11.8,13.8,4.1,0.1,0.062,0.52,179,337620
Ep2-Act2,Iron 2,Brimstone,9,0.82,11.8,14.5,4.6,0.1,0.045,0.51,178,244443
Ep2-Act2,Iron 2,Yoru,10,0.83,12.2,14.7,3.7,0.1,0.037,0.48,182,204459
Ep2-Act2,Iron 2,Viper,11,0.81,11.6,14.4,3.9,0.1,0.035,0.5,173,193137
Ep2-Act2,Iron 2,Cypher,12,0.84,11.7,13.9,4.6,0.1,0.035,0.51,173,188445
Ep2-Act2,Iron 2,Skye,13,0.76,11.0,14.5,4.1,0.1,0.025,0.49,164,133773
Ep2-Act2,Iron 2,Breach,14,0.83,12.1,14.5,4.8,0.1,0.019,0.52,182,104703
Ep2-Act2,Iron 2,Astra,15,0.89,12.5,14.1,3.8,0.1,0.01,0.5,184,56049
Ep2-Act2,Iron 3,Sage,1,0.84,11.9,14.1,6.3,0.1,0.175,0.51,177,1582122
Ep2-Act2,Iron 3,Reyna,2,1.04,15.2,14.7,4.5,0.2,0.12,0.51,226,1082220
Ep2-Act2,Iron 3,Raze,3,0.95,14.1,14.8,4.9,0.1,0.111,0.5,217,1002150
Ep2-Act2,Iron 3,Jett,4,0.99,14.5,14.7,3.9,0.2,0.104,0.5,215,941256
Ep2-Act2,Iron 3,Sova,5,0.86,12.3,14.2,5.3,0.1,0.078,0.5,186,708390
Ep2-Act2,Iron 3,Omen,6,0.9,13.2,14.7,3.7,0.1,0.075,0.49,193,678606
