Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep2-Act3,Iron 1,Sage,1,0.76,10.6,14.0,5.7,0.1,0.176,0.52,160,510561
Ep2-Act3,Iron 1,Raze,2,0.89,12.9,14.5,4.7,0.1,0.117,0.52,202,339609
Ep2-Act3,Iron 1,Reyna,3,0.97,14.0,14.4,4.4,0.2,0.116,0.52,212,338538
Ep2-Act3,Iron 1,Jett,4,0.93,13.3,14.3,3.6,0.2,0.101,0.51,200,292383
Ep2-Act3,Iron 1,Sova,5,0.78,11.1,14.2,5.0,0.1,0.075,0.51,170,217974
Ep2-Act3,Iron 1,Phoenix,6,0.84,12.1,14.4,3.8,0.1,0.064,0.49,183,186099
Ep2-Act3,Iron 1,Omen,7,0.84,12.1,14.4,3.5,0.1,0.063,0.51,178,184314
Ep2-Act3,Iron 1,Killjoy,8,0.81,11.2,13.7,4.0,0.1,0.063,0.54,171,184161
Ep2-Act3,Iron 1,Viper,9,0.77,10.8,14.2,4.3,0.1,0.058,0.49,165,169626
Ep2-Act3,Iron 1,Yoru,10,0.82,12.0,14.6,3.6,0.1,0.046,0.49,178,134385
Ep2-Act3,Iron 1,Brimstone,11,0.8,11.5,14.3,4.4,0.1,0.036,0.5,175,104550
Ep2-Act3,Iron 1,Skye,12,0.75,10.9,14.5,4.4,0.1,0.032,0.51,163,91953
Ep2-Act3,Iron 1,Cypher,13,0.8,11.0,13.9,4.5,0.1,0.029,0.48,166,83487
Ep2-Act3,Iron 1,Breach,14,0.77,11.2,14.6,4.7,0.1,0.018,0.52,171,51918
Ep2-Act3,Iron 1,Astra,15,0.81,11.5,14.2,3.8,0.1,0.007,0.47,171,19533
Ep2-Act3,Iron 2,Sage,1,0.81,11.4,14.1,6.2,0.1,0.181,0.52,170,1286526
Ep2-Act3,Iron 2,Reyna,2,1.02,14.9,14.6,4.5,0.2,0.119,0.51,223,846702
Ep2-Act3,Iron 2,Raze,3,0.93,13.8,14.8,4.9,0.1,0.106,0.52,213,752556
Ep2-Act3,Iron 2,Jett,4,0.98,14.4,14.8,3.9,0.2,0.097,0.51,215,686307
Ep2-Act3,Iron 2,Sova,5,0.82,11.9,14.4,5.3,0.1,0.075,0.5,180,533460
Ep2-Act3,Iron 2,Omen,6,0.86,12.7,14.7,3.6,0.1,0.071,0.51,185,502605
Ep2-Act3,Iron 2,Killjoy,7,0.86,11.9,13.9,4.1,0.1,0.068,0.53,182,480267
Ep2-Act3,Iron 2,Phoenix,8,0.89,13.0,14.7,4.1,0.2,0.061,0.5,197,429675
Ep2-Act3,Iron 2,Viper,9,0.83,11.9,14.3,4.6,0.1,0.054,0.51,178,385305
