Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep4-Act1,Iron 1,Sage,1,0.73,10.4,14.2,6.0,0.1,0.175,0.53,151,130713
Ep4-Act1,Iron 1,Reyna,2,0.95,14.0,14.7,4.2,0.1,0.108,0.48,207,80631
Ep4-Act1,Iron 1,Jett,3,0.9,13.1,14.5,3.8,0.2,0.084,0.52,196,62322
Ep4-Act1,Iron 1,Raze,4,0.84,12.5,14.9,4.8,0.1,0.078,0.49,195,57885
Ep4-Act1,Iron 1,Sova,5,0.75,10.7,14.2,4.9,0.1,0.065,0.5,164,48705
Ep4-Act1,Iron 1,Killjoy,6,0.83,11.5,13.8,4.0,0.1,0.061,0.53,174,45084
Ep4-Act1,Iron 1,Viper,7,0.76,11.0,14.5,4.7,0.1,0.06,0.48,166,44829
Ep4-Act1,Iron 1,Neon,8,0.84,12.8,15.2,3.8,0.2,0.057,0.47,192,42687
Ep4-Act1,Iron 1,Omen,9,0.8,11.9,14.8,4.1,0.1,0.049,0.5,174,36414
Ep4-Act1,Iron 1,Phoenix,10,0.82,12.0,14.7,3.9,0.2,0.046,0.48,185,34068
Ep4-Act1,Iron 1,Skye,11,0.72,10.6,14.8,6.2,0.1,0.039,0.47,156,29274
Ep4-Act1,Iron 1,Chamber,12,0.82,11.8,14.4,3.4,0.1,0.033,0.49,172,24888
Ep4-Act1,Iron 1,Yoru,13,0.83,12.1,14.5,3.3,0.1,0.032,0.45,181,24021
Ep4-Act1,Iron 1,Brimstone,14,0.75,11.3,15.1,5.5,0.1,0.032,0.46,168,23970
Ep4-Act1,Iron 1,Cypher,15,0.83,11.5,13.9,4.4,0.1,0.029,0.52,163,21369
Ep4-Act1,Iron 1,KAY/O,16,0.77,11.5,15.0,6.4,0.1,0.027,0.51,169,20196
Ep4-Act1,Iron 1,Breach,17,0.74,10.8,14.6,4.7,0.1,0.017,0.52,164,12342
Ep4-Act1,Iron 1,Astra,18,0.77,11.6,15.1,4.4,0.1,0.008,0.46,168,5661
Ep4-Act1,Iron 2,Sage,1,0.77,11.1,14.4,6.3,0.1,0.169,0.52,160,189159
Ep4-Act1,Iron 2,Reyna,2,0.99,14.7,14.8,4.3,0.2,0.111,0.52,217,124542
Ep4-Act1,Iron 2,Jett,3,0.92,14.0,15.2,4.0,0.2,0.082,0.49,205,91494
Ep4-Act1,Iron 2,Raze,4,0.9,13.6,15.1,4.9,0.1,0.072,0.51,206,81039
Ep4-Act1,Iron 2,Neon,5,0.9,13.8,15.3,4.0,0.2,0.067,0.48,205,74358
Ep4-Act1,Iron 2,Killjoy,6,0.86,12.1,14.0,4.3,0.1,0.065,0.54,180,73134
Ep4-Act1,Iron 2,Sova,7,0.82,12.0,14.7,5.2,0.1,0.062,0.5,178,69462
Ep4-Act1,Iron 2,Viper,8,0.83,11.9,14.4,4.9,0.1,0.062,0.5,174,69156
Ep4-Act1,Iron 2,Omen,9,0.84,12.5,14.8,4.3,0.1,0.052,0.48,180,57732
Ep4-Act1,Iron 2,Skye,10,0.78,11.6,14.8,6.3,0.1,0.043,0.49,167,47685
Ep4-Act1,Iron 2,Chamber,11,0.92,13.4,14.6,3.4,0.1,0.041,0.52,190,45849
Ep4-Act1,Iron 2,Phoenix,12,0.86,13.0,15.1,4.0,0.2,0.037,0.47,194,41310
Ep4-Act1,Iron 2,Brimstone,13,0.82,12.2,14.9,5.4,0.1,0.033,0.49,177,37383
Ep4-Act1,Iron 2,Cypher,14,0.86,12.2,14.3,4.4,0.1,0.027,0.51,174,30345
Ep4-Act1,Iron 2,Yoru,15,0.89,13.1,14.8,3.7,0.1,0.027,0.52,190,29733
Ep4-Act1,Iron 2,KAY/O,16,0.79,11.8,15.0,6.7,0.1,0.024,0.48,174,26979
Ep4-Act1,Iron 2,Breach,17,0.84,12.4,14.7,4.8,0.1,0.016,0.49,182,17697
Ep4-Act1,Iron 2,Astra,18,0.86,12.0,14.0,4.2,0.1,0.01,0.52,175,10914
Ep4-Act1,Iron 3,Sage,1,0.82,11.9,14.5,6.6,0.1,0.169,0.5,169,509643
Ep4-Act1,Iron 3,Reyna,2,1.02,15.4,15.1,4.4,0.2,0.116,0.5,224,348177
Ep4-Act1,Iron 3,Jett,3,1.0,15.1,15.2,4.1,0.2,0.082,0.51,220,246738
Ep4-Act1,Iron 3,Raze,4,0.92,14.1,15.3,4.9,0.1,0.068,0.5,212,204153
Ep4-Act1,Iron 3,Killjoy,5,0.87,12.3,14.1,4.3,0.1,0.065,0.51,184,196605
Ep4-Act1,Iron 3,Sova,6,0.87,12.8,14.7,5.4,0.1,0.065,0.5,187,195483
